billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs
Benny Blanco,benny blanco,5CiGnKThu5ctn9pBxv7DGa,,NA,NAME_MISMATCH - verify correct artist,3,"2018, 2019, 2021",Eastside | Lonely
Blackbear,blackbear,2cFrymmkijnjDg9SS92EPM,,NA,NAME_MISMATCH - verify correct artist,3,"2017, 2020, 2021",Do Re Mi | Hot Girl Bummer | My Ex's Best Friend
Bobby Valentino,Bobby V.,4HgF4KnohByNElYid7iCNb,r&b,['r&b'],NAME_MISMATCH - verify correct artist,3,"2005, 2008",Slow Down | Pimpin' All Over the World | Mrs. Officer
Colby O'Donis,Colby O'Donis,7fObcBw9VM3x7ntWKCYl0z,,NA,NO_GENRES - artist has no genre tags,3,"2008, 2009",What You Got | Just Dance | Beautiful
Gabby Barrett,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,country,['country'],OK,3,"2020, 2021",I Hope | The Good Ones
Karol G,KAROL G,790FomKkXshlbRYZFtlgla,"reggaeton, latin, urbano latino","['reggaeton', 'latin', 'urbano latino']",NAME_MISMATCH - verify correct artist,3,"2022, 2023",Mamiii | Provenza | TQG
Latto,Latto,3MdXrJWsbVzdn6fe5JYkSQ,,NA,NO_GENRES - artist has no genre tags,3,"2022, 2023",Big Energy | Seven | Put It on da Floor Again
Lewis Capaldi,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,soft pop,['soft pop'],OK,3,"2019, 2020",Someone You Loved | Before You Go
Lil Tjay,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,"brooklyn drill, melodic rap","['brooklyn drill', 'melodic rap']",OK,3,"2019, 2020, 2021",Pop Out | Mood Swings | Calling My Phone
Outkast,Outkast,1G9G7WwrXka3Z1r7aIDjI7,"southern hip hop, hip hop","['southern hip hop', 'hip hop']",OK,3,"2001, 2002","Ms. Jackson | So Fresh, So Clean | The Whole World"
Panic! at the Disco,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,emo,['emo'],NAME_MISMATCH - verify correct artist,3,"2006, 2019","I Write Sins Not Tragedies | High Hopes | Hey Look Ma, I Made It"
Polo G,Polo G,6AgTAQt8XS6jRWi4sX7w49,,NA,NO_GENRES - artist has no genre tags,3,"2019, 2021, 2022",Pop Out | Rapstar | Better Days
Rod Wave,Rod Wave,45TgXXqMDdF8BkjA83OM7z,,NA,NO_GENRES - artist has no genre tags,3,"2020, 2021",Heart on Ice | Rags2Riches | Tombstone
Selena Gomez & the Scene,Selena Gomez & The Scene,6dJeKm76NjfXBNTpHmOhfO,,NA,NAME_MISMATCH - verify correct artist,3,"2010, 2011, 2012",Naturally | Who Says | Love You Like a Love Song
The Cataracs,The Cataracs,7C64wNX3howEFZjAYRKsfP,,NA,NO_GENRES - artist has no genre tags,3,"2010, 2011",Like a G6 | Backseat
The Kid Laroi,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,,NA,NAME_MISMATCH - verify correct artist,3,"2021, 2022",Stay | Without You
