billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs
Gavin Rossdale,Bush,78SHxLdtysAXgywQ4vE0Oa,"grunge, post-grunge","['grunge', 'post-grunge']",NAME_MISMATCH - verify correct artist,1,2008,Love Remains the Same
Gayle,GAYLE,2VSHKHBTiXWplO8lxcnUC9,,NA,NAME_MISMATCH - verify correct artist,1,2022,ABCDEFU
Gente de Zona,Gente De Zona,2cy1zPcrFcXAJTP0APWewL,"latin, latin dance","['latin', 'latin dance']",NAME_MISMATCH - verify correct artist,1,2014,Bailando
GloRilla,GloRilla,2qoQgPAilErOKCwE2Y8wOG,,NA,NO_GENRES - artist has no genre tags,1,2023,Tomorrow 2
Grace Potter,Grace Potter,1PJVVIeS5Wu0wbZDhtC0Ht,,NA,NO_GENRES - artist has no genre tags,1,2011,You and Tequila
Grandmaster Caz,Grandmaster Caz,6QeZTS8BrU3r2TYJdA68j9,old school hip hop,['old school hip hop'],OK,1,2015,Downtown
Gus Dapperton,Gus Dapperton,6sHCvZe1PHrOAuYlwTLNH4,bedroom pop,['bedroom pop'],OK,1,2020,Supalonely
Hardy,HARDY,5QNm7E7RU2m64l6Gliu8Oy,"country, country rock","['country', 'country rock']",NAME_MISMATCH - verify correct artist,1,2023,Wait in the Truck
Hollis,Hollis,28KOnhhvUnyvgRNXEQ41WL,,NA,NO_GENRES - artist has no genre tags,1,2014,White Walls
Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,,NA,NAME_MISMATCH - verify correct artist,1,2004,I Like That
ILoveMakonnen,ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,,NA,NAME_MISMATCH - verify correct artist,1,2015,Tuesday
Internet Money,Internet Money,6MPCFvOQv5cIGfw3jODMF0,,NA,NO_GENRES - artist has no genre tags,1,2021,Lemonade
J-Weav,Jason Weaver,5UdPkKWd8YNR5xGcmqH9QJ,,NA,NAME_MISMATCH - verify correct artist,1,2004,One Call Away
JID,JID,6U3ybJ9UHNKEdsH7ktGBZ7,,NA,NO_GENRES - artist has no genre tags,1,2022,Enemy
JP Saxe,JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,,NA,NO_GENRES - artist has no genre tags,1,2020,If the World Was Ending
Jake Scott,Jake Scott,0DxPHf2flBAcV2SnZPg3SV,,NA,NO_GENRES - artist has no genre tags,1,2022,She Likes It
Jawsh 685,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,,NA,NO_GENRES - artist has no genre tags,1,2020,Savage Love (Laxed – Siren Beat)
Jelly Roll,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,"country hip hop, country","['country hip hop', 'country']",OK,1,2023,Need a Favor
Jennifer Lawrence,Jennifer Lawrence,3oCIYpmkFw8KGWwMNPKgXh,,NA,NO_GENRES - artist has no genre tags,1,2015,The Hanging Tree
Jessica Darrow,Jessica Darrow,4vdAAzZBUKbsrvHi6UR7B7,,NA,NO_GENRES - artist has no genre tags,1,2022,Surface Pressure
Jhay Cortez,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"reggaeton, trap latino, urbano latino","['reggaeton', 'trap latino', 'urbano latino']",NAME_MISMATCH - verify correct artist,1,2021,Dakiti
Jhené Aiko,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,r&b,['r&b'],OK,1,2015,Post to Be
Jnr Choi,JNR CHOI,1Z25ZlGHqqlr3o1UGQOfNn,,NA,NAME_MISMATCH - verify correct artist,1,2022,To the Moon
Jonah Matranga,Jonah Matranga,3Ztgr9y1L9ZfoIOEsCrZEb,,NA,NO_GENRES - artist has no genre tags,1,2006,Where'd You Go
Josey Scott,Josey Scott,5mNloTgSaf5qCyk48t9NSP,,NA,NO_GENRES - artist has no genre tags,1,2002,Hero
Jvke,JVKE,164Uj4eKjl6zTBKfJLFKKK,,NA,NAME_MISMATCH - verify correct artist,1,2023,Golden Hour
Kai,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,britpop,['britpop'],NAME_MISMATCH - verify correct artist,1,2016,Never Be Like You
Kaliii,Kaliii,1YRqgFNXqRyMDRr8ClS1NL,,NA,NO_GENRES - artist has no genre tags,1,2023,Area Codes
Kandi Girl,Kandi Girl,41TccBHnkaVhhgCgl83JU8,,NA,NO_GENRES - artist has no genre tags,1,2006,U and Dat
Katelyn Brown,Katelyn Brown,2GB8NPGTvSHk3KwmxtVvaB,country,['country'],OK,1,2023,Thank God
Kevin McCall,Kevin McCall,2teIxF2qgr0rYmTTMKiZ7s,,NA,NO_GENRES - artist has no genre tags,1,2010,Deuces
Kyjuan,Kyjuan,6kD993mKIytiN9sE6VyRfa,,NA,NO_GENRES - artist has no genre tags,1,2003,Air Force Ones
Kyle,Kyle Hume,0p3tzEAt0XWrBqbrwBoN1I,,NA,NAME_MISMATCH - verify correct artist,1,2017,iSpy
Lauren Spencer-Smith,Lauren Spencer Smith,79AyR6ATpj2LTPxfb6FX50,,NA,NAME_MISMATCH - verify correct artist,1,2022,Fingers Crossed
Lil Boosie,Lil Boosie,1dZj9MWXyeVTdP1ezinAwa,southern hip hop,['southern hip hop'],OK,1,2008,Independent
Lil Tecca,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,"melodic rap, rap","['melodic rap', 'rap']",OK,1,2019,Ransom
Lil' Bow Wow,Bow Wow,7352aRY2mqSxBZwzUb6LmA,r&b,['r&b'],NAME_MISMATCH - verify correct artist,1,2000,Bounce with Me
Lil' Romeo,Lil' Romeo,2AXQzJRDvlJrq0fiVAnRy8,,NA,NO_GENRES - artist has no genre tags,1,2001,My Baby
Lil' Scrappy,Lil Scrappy,5einkgXXrjhfYCyac1FANB,"crunk, southern hip hop","['crunk', 'southern hip hop']",NAME_MISMATCH - verify correct artist,1,2007,Rock Yo Hips
Lookas,Lookas,27fy6rHPC58Eo2VUu0iJSG,edm trap,['edm trap'],OK,1,2015,G.D.F.R.
Los Lonely Boys,Los Lonely Boys,4aSEmLLxLX9wR5aLMllOKj,,NA,NO_GENRES - artist has no genre tags,1,2004,Heaven
Mae Muller,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,,NA,NO_GENRES - artist has no genre tags,1,2022,Better Days
Magic!,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,,NA,NAME_MISMATCH - verify correct artist,1,2014,Rude
Mary Lambert,Mary Lambert,5Z2NUZiY3FA00HKu5WTMhA,,NA,NO_GENRES - artist has no genre tags,1,2013,Same Love
Masked Wolf,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,,NA,NO_GENRES - artist has no genre tags,1,2021,Astronaut in the Ocean
Matthew Santos,Matthew Santos,5t2P9w0qT2I9y0DrNhykSj,,NA,NO_GENRES - artist has no genre tags,1,2008,Superstar
Max,Max McNown,340PS4ZcZ4UCBgyrXzEjcp,,NA,NAME_MISMATCH - verify correct artist,1,2018,Lights Down Low
Megan Moroney,Megan Moroney,5Ppie0uPnbnvGBYRwYmlt0,country,['country'],OK,1,2023,Tennessee Orange
Melle Mel,Melle Mel,2vFI46txKvL9Gde572uNTz,,NA,NO_GENRES - artist has no genre tags,1,2015,Downtown
Mims,Mims,6RRYjswZrDD1U2lL9FFEPU,,NA,NO_GENRES - artist has no genre tags,1,2007,This Is Why I'm Hot
Mooski,Mooski,4NqH3V7GS0Igs1VyGMXEi8,,NA,NO_GENRES - artist has no genre tags,1,2021,Track Star
Mr Hudson,Mr Hudson,1zV9UjTUevjp5VUddqIUUn,,NA,NO_GENRES - artist has no genre tags,1,2010,Young Forever
Ms. Thing,Ms. Thing,72cbi5bA8U2sMttAnKIaen,"dancehall, ragga, reggae","['dancehall', 'ragga', 'reggae']",OK,1,2004,Dude
Muni Long,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,,NA,NO_GENRES - artist has no genre tags,1,2022,Hrs and Hrs
Måneskin,Måneskin,0lAWpj5szCSwM4rUMHYmrr,,NA,NO_GENRES - artist has no genre tags,1,2021,Beggin'
Natalie,Natalie Jane,5bfglVyGJppmmNoC2rhBUG,,NA,NAME_MISMATCH - verify correct artist,1,2005,Goin' Crazy
Natalie La Rose,Natalie La Rose,2qdONMCoDngQk0eV4Avs1i,,NA,NO_GENRES - artist has no genre tags,1,2015,Somebody
Natanael Cano,Natanael Cano,0elWFr7TW8piilVRYJUe4P,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño, electro corridos, música mexicana, banda","['corridos tumbados', 'corrido', 'corridos bélicos', 'sierreño', 'sad sierreño', 'electro corridos', 'música mexicana', 'banda']",OK,1,2023,PRC
Nav,NAV,7rkW85dBwwrJtlHRDkJDAC,melodic rap,['melodic rap'],NAME_MISMATCH - verify correct artist,1,2021,Lemonade
Neiked,NEIKED,5H6xmHXjsq98NLbEjuE29f,,NA,NAME_MISMATCH - verify correct artist,1,2022,Better Days
Nick Lachey,Nick Lachey,6ewMqjrF31lC8ywRsvm073,lullaby,['lullaby'],OK,1,2006,What's Left of Me
Nicky Youre,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,,NA,NO_GENRES - artist has no genre tags,1,2022,Sunroof
Niia,Niia,1KlUwB6uFECMC3zzvFvykx,,NA,NO_GENRES - artist has no genre tags,1,2008,Sweetest Girl (Dollar Bill)
Niko Moon,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,country,['country'],OK,1,2021,Good Time
Nitti,Nitti,72NU0FPsKjpO730t9vbW0a,,NA,NO_GENRES - artist has no genre tags,1,2006,It's Goin' Down
Noah Kahan,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,,NA,NO_GENRES - artist has no genre tags,1,2023,Dial Drunk
Oliver Anthony Music,Oliver Anthony Music,6IkfE2JyVoKwBZXvuytKX3,country,['country'],OK,1,2023,Rich Men North of Richmond
Olivia,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,pop soul,['pop soul'],NAME_MISMATCH - verify correct artist,1,2005,Candy Shop
Parker McCollum,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,"texas country, red dirt, country","['texas country', 'red dirt', 'country']",OK,1,2023,Handle on You
Paul McCoy,Paul McCoy,48Mb31TcOhPFjwacZPbiU9,,NA,NO_GENRES - artist has no genre tags,1,2003,Bring Me to Life
PinkPantheress,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,bedroom pop,['bedroom pop'],OK,1,2023,Boy's a Liar Pt. 2
Pinkfong,Pinkfong,7cTXfwpe9peK0UE1bZyIWZ,"children's music, lullaby","['children's music', 'lullaby']",OK,1,2019,Baby Shark
Polow da Don,Polow Da Don,0gcDAjaKZIKMdYJoIdrIfR,,NA,NAME_MISMATCH - verify correct artist,1,2007,Throw Some D's
Powfu,Powfu,6bmlMHgSheBauioMgKv2tn,,NA,NO_GENRES - artist has no genre tags,1,2020,Death Bed
QB Finest,QB Finest,06X9ub06B2zsqDpmHUqh3K,,NA,NO_GENRES - artist has no genre tags,1,2001,Oochie Wally
Ray Dalton,Ray Dalton,4e0nWw2r4BoQSKPQ2zpU13,,NA,NO_GENRES - artist has no genre tags,1,2013,Can't Hold Us
Raye,RAYE,5KKpBU5eC2tJDzf0wmlRp2,,NA,NAME_MISMATCH - verify correct artist,1,2023,Escapism
Rema,Rema,46pWGuE3dSwY3bMMXGBvVS,"afrobeats, afrobeat, afropop, afropiano","['afrobeats', 'afrobeat', 'afropop', 'afropiano']",OK,1,2023,Calm Down
Remy Boyz,Remy Boyz,2s0yxtiHiyGe6CY4mbDYFi,,NA,NO_GENRES - artist has no genre tags,1,2016,679
Rhenzy Feliz,Rhenzy Feliz,2as15AH2BTrPk8v4gyElmr,,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno
Rich the Kid,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,trap,['trap'],NAME_MISMATCH - verify correct artist,1,2018,Plug Walk
Rikrok,Rik Rok,67wCYxOq4A1ohAs7jWYaOJ,"dancehall, riddim, lovers rock, ragga","['dancehall', 'riddim', 'lovers rock', 'ragga']",NAME_MISMATCH - verify correct artist,1,2001,It Wasn't Me
Ritt Momney,Ritt Momney,7MPGCB854Qo4alYMOPkBka,bedroom pop,['bedroom pop'],OK,1,2021,Put Your Records On
Roman GianArthur,Roman GianArthur,7hgRzsQGjlm1zifNoigyB9,neo soul,['neo soul'],OK,1,2015,Classic Man
Rozes,Rozes,6tARJVc2sZDHgAHOYJhRp8,,NA,NO_GENRES - artist has no genre tags,1,2016,Roses
Ruth B,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,,NA,NAME_MISMATCH - verify correct artist,1,2016,Lost Boy
Ryan Hurd,Ryan Hurd,7lDVEkjIURPMyUYwoQRrpw,country,['country'],OK,1,2021,Chasing After You
Ryan Tedder,Ryan Tedder,4we5S2VLjgY9KzIzApL1KI,,NA,NO_GENRES - artist has no genre tags,1,2011,Rocketeer
Sabi,Sabi,3tB8VKd0rtEnc9x8l78ymo,,NA,NO_GENRES - artist has no genre tags,1,2011,You Make Me Feel...
Sacario,Sacario,7bbJOUpJk7Y8Pkr2fCtDsc,,NA,NO_GENRES - artist has no genre tags,1,2002,If I Could Go!
Sage the Gemini,Sage The Gemini,6d47Z08T4snK50HgTEHo5Z,hyphy,['hyphy'],NAME_MISMATCH - verify correct artist,1,2015,G.D.F.R.
Saint Jhn,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,,NA,NAME_MISMATCH - verify correct artist,1,2020,Roses (Imanbek remix)
Sean Garrett,Sean Garrett,4aWpJudn4ljEWahx6cPEGu,,NA,NO_GENRES - artist has no genre tags,1,2009,Break Up
Sean P,Sean Paul,3Isy6kedDrgPYoTS1dazA9,dancehall,['dancehall'],NAME_MISMATCH - verify correct artist,1,2006,Do It to It
Social House,Social House,5UjifI1TYefXWn9GdqDOHl,,NA,NO_GENRES - artist has no genre tags,1,2019,Boyfriend
Son by Four,Son By Four,1qyAl8T6GTcaOViaI7fs1j,salsa,['salsa'],NAME_MISMATCH - verify correct artist,1,2000,Purest of Pain (A Puro Dolor)
Sonique,Sonique,5xtqw2B8z8JGfDYi2eAZHI,,NA,NO_GENRES - artist has no genre tags,1,2000,It Feels So Good
Sons of the Desert,Sons Of The Desert,11CLs6bp5aUHnVdkfqq3rV,,NA,NAME_MISMATCH - verify correct artist,1,2000,I Hope You Dance
SpotemGottem,SpotemGottem,3Y2MLcrD3ZQXRXmtn4fZQx,,NA,NO_GENRES - artist has no genre tags,1,2021,Beat Box
Spragga Benz,Spragga Benz,2RUW6D53228zMHAXjaQI8f,"dancehall, ragga, reggae, riddim","['dancehall', 'ragga', 'reggae', 'riddim']",OK,1,2004,Turn Me On
StaySolidRocky,StaySolidRocky,1XLWox9w1Yvbodui0SRhUQ,,NA,NO_GENRES - artist has no genre tags,1,2020,Party Girl
Stephanie Beatriz,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno
Stephen Sanchez,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,,NA,NO_GENRES - artist has no genre tags,1,2023,Until I Found You
Surf Mesa,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,,NA,NO_GENRES - artist has no genre tags,1,2020,ILY (I Love You Baby)
Surfaces,Surfaces,4ETSs924pXMzjIeD6E9b4u,,NA,NO_GENRES - artist has no genre tags,1,2020,Sunday Best
The Anxiety,THE ANXIETY,64H8UqGLbJFHwKtGxiV8OP,,NA,NAME_MISMATCH - verify correct artist,1,2022,Meet Me at Our Spot
The D.E.Y.,London Symphony Orchestra,5yxyJsFanEAuwSM5kOuZKc,"classical, orchestral, opera","['classical', 'orchestral', 'opera']",NAME_MISMATCH - verify correct artist,1,2007,Walk Away (Remember Me)
The Product G&B,The Product G&B,782IpIScTpnDhYb9hyxOu1,,NA,NO_GENRES - artist has no genre tags,1,2000,Maria Maria
Thrust,Thrust,6Dq408AS2fr8nlo85Rb5OD,underground hip hop,['underground hip hop'],OK,1,2000,Faded
Tiara Thomas,Tiara Thomas,69FykkhiqpzqeSNYRxc8BI,,NA,NO_GENRES - artist has no genre tags,1,2013,Bad
Tones and I,Tones And I,2NjfBq1NflQcKSeiDooVjY,,NA,NAME_MISMATCH - verify correct artist,1,2020,Dance Monkey
Toosii,Toosii,6BH1xcDkwbbyrLMUKECsW1,,NA,NO_GENRES - artist has no genre tags,1,2023,Favorite Song
Trevor Daniel,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,,NA,NO_GENRES - artist has no genre tags,1,2020,Falling
Tyler Cole,Tyler Cole,1xoxekeb8jUVHKJB7m6bfg,,NA,NO_GENRES - artist has no genre tags,1,2022,Meet Me at Our Spot
Walk the Moon,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,,NA,NAME_MISMATCH - verify correct artist,1,2015,Shut Up and Dance
Wanz,Wanz,56xTxG4nQMAs1GW9kvn0uA,g-funk,['g-funk'],OK,1,2013,Thrift Shop
Willa Ford,Willa Ford,0kuEP1E9k3WBEwMKwEmp9u,,NA,NO_GENRES - artist has no genre tags,1,2001,I Wanna Be Bad
Willow,WILLOW,3rWZHrfrsPBxVy692yAIxF,,NA,NAME_MISMATCH - verify correct artist,1,2022,Meet Me at Our Spot
Wynter,Wynter,3DPBVk2CE9Tr0AAEEq19iB,,NA,NO_GENRES - artist has no genre tags,1,2009,Sugar
YK Osiris,YK Osiris,7meyrw7Or5DwteYxDJrkCM,,NA,NO_GENRES - artist has no genre tags,1,2019,Worth It
Yng Lvcas,Yng Lvcas,1NNRWkhwmcXRimFYSBpB1y,"reggaeton mexa, reggaeton, electro corridos, dembow belico","['reggaeton mexa', 'reggaeton', 'electro corridos', 'dembow belico']",OK,1,2023,La Bebé
Yung Bleu,Yung Bleu,3KNIG74xSTc3dj0TRy7pGX,,NA,NO_GENRES - artist has no genre tags,1,2021,You're Mines Still
Zacari,Zacari,3qBKjEOanahMxlRojwCzhI,,NA,NO_GENRES - artist has no genre tags,1,2018,Love
Zay Hilfigerrr & Zayion McCall,Zion Foster,7z5nU71I7KTEdTHiPMfwL6,uk r&b,['uk r&b'],NAME_MISMATCH - verify correct artist,1,2017,Juju on That Beat (TZ Anthem)
[a],Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,['pop'],NAME_MISMATCH - verify correct artist,1,2016,Pop Style
soulDecision,SoulDecision,6hYrBYtoVGArYJcqvYxN4r,,NA,NAME_MISMATCH - verify correct artist,1,2000,Faded
