billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs,issue,suggested_genres,suggested_musicoset_format
Tate McRae,Tate McRae,45dkTj5sMRSjrmBSBeiHym,NA,NA,NO_GENRES - artist has no genre tags,2,"2021, 2022",You Broke Me First | She's All I Wanna Be,no_genres,"pop, dance pop","['pop', 'dance pop']"
Too Short,Too Short,3B1hEK4xKbJVNEhB6qTScQ,NA,NA,NO_GENRES - artist has no genre tags,2,"2006, 2014",Bossy | Loyal,no_genres,"pop, dance pop","['pop', 'dance pop']"
'N Sync,'N Sync,7b2BqxGdAQcsRqNYhhvvJZ,NA,NA,NO_GENRES - artist has no genre tags,1,2000,It's Gonna Be Me,no_genres,"pop, dance pop","['pop', 'dance pop']"
070 Shake,070 Shake,12Zk1DFhCbHY6v3xep2ZjI,NA,NA,NO_GENRES - artist has no genre tags,1,2023,Escapism,no_genres,"pop, dance pop","['pop', 'dance pop']"
42 Dugg,42 Dugg,45gHcnDnMC15sgx3VL7ROG,NA,NA,NO_GENRES - artist has no genre tags,1,2020,We Paid,no_genres,"pop, dance pop","['pop', 'dance pop']"
Adassa,Adassa,72kqSqk124Vnl1wtT6q9Fh,NA,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno,no_genres,"pop, dance pop","['pop', 'dance pop']"
Arizona Zervas,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,NA,NA,NO_GENRES - artist has no genre tags,1,2020,Roxanne,no_genres,"pop, dance pop","['pop', 'dance pop']"
BRS Kash,BRS Kash,5jJjvmEwRr8epuGZq4eUUa,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Throat Baby (Go Baby),no_genres,"r&b, urban contemporary","['r&b', 'urban contemporary']"
Bipolar Sunshine,Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,NA,NA,NO_GENRES - artist has no genre tags,1,2016,Middle,no_genres,"pop, dance pop","['pop', 'dance pop']"
Blueface,Blueface,3Fl1V19tmjt57oBdxXKAjJ,NA,NA,NO_GENRES - artist has no genre tags,1,2019,Thotiana,no_genres,"pop, dance pop","['pop', 'dance pop']"
Brendon Urie,Brendon Urie,6eYFryfcEu3QSq59D62wZQ,NA,NA,NO_GENRES - artist has no genre tags,1,2019,Me!,no_genres,"pop, dance pop","['pop', 'dance pop']"
CJ,CJ,02GmR27EYUG8oYH3oHpOCO,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Whoopty,no_genres,"pop, dance pop","['pop', 'dance pop']"
Cash Out,Cash Out,1GUUilbHrYtNuHToDI73gn,NA,NA,NO_GENRES - artist has no genre tags,1,2012,Cashin' Out,no_genres,"pop, dance pop","['pop', 'dance pop']"
City Spud,City Spud,3L2SIGZah4QZSvN4wC8rHl,NA,NA,NO_GENRES - artist has no genre tags,1,2001,Ride wit Me,no_genres,"pop, dance pop","['pop', 'dance pop']"
DHT,DHT,7lVtH5UmhLGyfN9iS2FFk7,NA,NA,NO_GENRES - artist has no genre tags,1,2005,Listen to Your Heart,no_genres,"pop, dance pop","['pop', 'dance pop']"
DJ Frank E,DJ Frank E,4yt2wdqvcHygghx9iNUb6i,NA,NA,NO_GENRES - artist has no genre tags,1,2011,Tonight (I'm Lovin' You),no_genres,"hip hop, rap, electronic, edm, dance pop","['hip hop', 'rap', 'electronic', 'edm', 'dance pop']"
David Kushner,David Kushner,33NVpKoXjItPwUJTMZIOiY,NA,NA,NO_GENRES - artist has no genre tags,1,2023,Daylight,no_genres,"pop, dance pop","['pop', 'dance pop']"
Diane Guerrero,Diane Guerrero,18MFcGBHtyW0mU3ufcm0X1,NA,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno,no_genres,"pop, dance pop","['pop', 'dance pop']"
Doechii,Doechii,4E2rKHVDssGJm2SCDOMMJB,NA,NA,NO_GENRES - artist has no genre tags,1,2023,What It Is (Block Boy),no_genres,"pop, dance pop","['pop', 'dance pop']"
Don Toliver,Don Toliver,4Gso3d4CscCijv0lmajZWs,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Lemonade,no_genres,"pop, dance pop","['pop', 'dance pop']"
Eden's Crush,Eden's Crush,48VMsTwTzdzKc1aKcMnIbH,NA,NA,NO_GENRES - artist has no genre tags,1,2001,Get Over Yourself,no_genres,"pop, dance pop","['pop', 'dance pop']"
Edmee,Edmee,2Bn9Kf2NC3mJfExuN9DMdE,NA,NA,NO_GENRES - artist has no genre tags,1,2005,Listen to Your Heart,no_genres,"electronic, edm, dance pop","['electronic', 'edm', 'dance pop']"
Elliott Yamin,Elliott Yamin,4am1I89OWXUzFh4ctRLkdd,NA,NA,NO_GENRES - artist has no genre tags,1,2007,Wait for You,no_genres,"pop, dance pop","['pop', 'dance pop']"
Em Beihold,Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,NA,NA,NO_GENRES - artist has no genre tags,1,2022,Numb Little Bug,no_genres,"pop, dance pop","['pop', 'dance pop']"
Eric Nally,Eric Nally,3NoeRIxHApi6qe4yan2Vnn,NA,NA,NO_GENRES - artist has no genre tags,1,2015,Downtown,no_genres,"pop, dance pop","['pop', 'dance pop']"
Eric Turner,Eric Turner,79DOwuMzV2h4es3em0t002,NA,NA,NO_GENRES - artist has no genre tags,1,2011,Written in the Stars,no_genres,"pop, dance pop","['pop', 'dance pop']"
GloRilla,GloRilla,2qoQgPAilErOKCwE2Y8wOG,NA,NA,NO_GENRES - artist has no genre tags,1,2023,Tomorrow 2,no_genres,"pop, dance pop","['pop', 'dance pop']"
Grace Potter,Grace Potter,1PJVVIeS5Wu0wbZDhtC0Ht,NA,NA,NO_GENRES - artist has no genre tags,1,2011,You and Tequila,no_genres,"pop, dance pop","['pop', 'dance pop']"
Hollis,Hollis,28KOnhhvUnyvgRNXEQ41WL,NA,NA,NO_GENRES - artist has no genre tags,1,2014,White Walls,no_genres,"pop, dance pop","['pop', 'dance pop']"
Internet Money,Internet Money,6MPCFvOQv5cIGfw3jODMF0,NA,NA,NO_GENRES - artist has no genre tags,1,2021,Lemonade,no_genres,"pop, dance pop","['pop', 'dance pop']"
JID,JID,6U3ybJ9UHNKEdsH7ktGBZ7,NA,NA,NO_GENRES - artist has no genre tags,1,2022,Enemy,no_genres,"pop, dance pop","['pop', 'dance pop']"
JP Saxe,JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,NA,NA,NO_GENRES - artist has no genre tags,1,2020,If the World Was Ending,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jake Scott,Jake Scott,0DxPHf2flBAcV2SnZPg3SV,NA,NA,NO_GENRES - artist has no genre tags,1,2022,She Likes It,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jawsh 685,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,NA,NA,NO_GENRES - artist has no genre tags,1,2020,Savage Love (Laxed – Siren Beat),no_genres,"electronic, edm, dance pop","['electronic', 'edm', 'dance pop']"
Jennifer Lawrence,Jennifer Lawrence,3oCIYpmkFw8KGWwMNPKgXh,NA,NA,NO_GENRES - artist has no genre tags,1,2015,The Hanging Tree,no_genres,"pop, dance pop","['pop', 'dance pop']"
