billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
12,You and Me,Lifehouse,2005,alternative metal,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",37.0,Solo
13,Don't Phunk with My Heart,The Black Eyed Peas,2005,dance pop,"['dance pop', 'pop', 'pop rap']",58.0,Solo
14,Lose Control,Missy Elliott,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",,
14,Lose Control,Ciara,2005,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",,
14,Lose Control,Fatman Scoop,2005,nyc rap,['nyc rap'],,
15,Shake It Off,Mariah Carey,2005,dance pop,"['dance pop', 'pop', 'r&b', 'urban contemporary']",75.0,Solo
15,Shake It Off,Mariah Carey,2005,dance pop,"['dance pop', 'pop', 'r&b', 'urban contemporary']",53.0,Solo
16,Mr. Brightside,The Killers,2005,indie rock,"['indie rock', 'modern rock', 'permanent wave', 'rock']",78.0,Solo
17,Just a Lil Bit,50 Cent,2005,east coast hip hop,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",72.0,Solo
18,Pon de Replay,Rihanna,2005,dance pop,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",73.0,Solo
19,How We Do,The Game,2005,gangster rap,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
19,How We Do,50 Cent,2005,east coast hip hop,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",,
20,Beverly Hills,Weezer,2005,alternative rock,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",67.0,Solo
21,Oh,Ciara,2005,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",,
21,Oh,Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
22,Lonely No More,Rob Thomas,2005,acoustic pop,"['acoustic pop', 'neo mellow', 'pop rock', 'post-grunge']",55.0,Solo
23,Drop It Like It's Hot,Snoop Dogg,2005,g funk,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",,
23,Drop It Like It's Hot,Pharrell,2005,,,,
24,Hate It or Love It,The Game,2005,gangster rap,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",70.0,Collaboration
24,Hate It or Love It,50 Cent,2005,east coast hip hop,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",70.0,Collaboration
25,Lovers & Friends,Lil Jon,2005,atl hip hop,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'pop rap', 'southern hip hop']",,
25,Lovers & Friends,Usher,2005,atl hip hop,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",,
25,Lovers & Friends,Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
26,Soldier,Destiny's Child,2005,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",,
26,Soldier,T.I.,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
26,Soldier,Lil Wayne,2005,hip hop,"['hip hop', 'new orleans rap', 'pop', 'pop rap', 'rap', 'trap music']",,
27,Breakaway,Kelly Clarkson,2005,australian pop,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",63.0,Solo
27,Breakaway,Kelly Clarkson,2005,australian pop,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",34.0,Solo
28,Switch,Will Smith,2005,hip hop,['hip hop'],55.0,Solo
29,Let Me Hold You,Bow Wow,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",61.0,Collaboration
29,Let Me Hold You,Omarion,2005,dance pop,"['dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",61.0,Collaboration
30,Like You,Bow Wow,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",49.0,Solo
30,Like You,Ciara,2005,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",49.0,Solo
31,Rich Girl,Gwen Stefani,2005,dance pop,"['dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop']",67.0,Solo
31,Rich Girl,Eve,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'philly rap', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",67.0,Solo
32,My Humps,The Black Eyed Peas,2005,dance pop,"['dance pop', 'pop', 'pop rap']",64.0,Solo
33,Obsession (No Es Amor),Frankie J,2005,dance pop,"['dance pop', 'r&b', 'urban contemporary']",,
33,Obsession (No Es Amor),Baby Bash,2005,chicano rap,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",,
34,Caught Up,Usher,2005,atl hip hop,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",60.0,Solo
35,Listen to Your Heart,DHT,2005,,,71.0,Solo
35,Listen to Your Heart,Edmee,2005,,,71.0,Solo
36,Scars,Papa Roach,2005,alternative metal,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'rap metal', 'rap rock']",62.0,Solo
37,Feel Good Inc.,Gorillaz,2005,alternative hip hop,"['alternative hip hop', 'art pop']",78.0,Solo
38,Let Me Go,3 Doors Down,2005,alternative metal,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge']",50.0,Collaboration
38,Let Me Go,3 Doors Down,2005,alternative metal,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge']",43.0,Solo
38,Let Me Go,3 Doors Down,2005,alternative metal,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge']",7.0,Collaboration
38,Let Me Go,3 Doors Down,2005,alternative metal,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge']",4.0,Solo
39,Holiday,Green Day,2005,permanent wave,"['permanent wave', 'pop punk', 'punk', 'rock']",63.0,Solo
39,Holiday,Green Day,2005,permanent wave,"['permanent wave', 'pop punk', 'punk', 'rock']",16.0,Solo
39,Holiday,Green Day,2005,permanent wave,"['permanent wave', 'pop punk', 'punk', 'rock']",10.0,Solo
39,Holiday,Green Day,2005,permanent wave,"['permanent wave', 'pop punk', 'punk', 'rock']",62.0,Solo
39,Holiday,Green Day,2005,permanent wave,"['permanent wave', 'pop punk', 'punk', 'rock']",5.0,Solo
39,Holiday,Green Day,2005,permanent wave,"['permanent wave', 'pop punk', 'punk', 'rock']",46.0,Solo
40,"Sugar, We're Goin Down",Fall Out Boy,2005,emo,"['emo', 'modern rock', 'pop punk']",75.0,Solo
41,Grind with Me,Pretty Ricky,2005,dance pop,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",64.0,Solo
42,Run It!,Chris Brown,2005,dance pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",30.0,Solo
42,Run It!,Juelz Santana,2005,gangster rap,"['gangster rap', 'hardcore hip hop', 'hip hop', 'nyc rap', 'pop rap', 'rap', 'trap music']",30.0,Solo
43,Photograph,Nickelback,2005,alternative metal,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",64.0,Solo
43,Photograph,Nickelback,2005,alternative metal,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",82.0,Solo
43,Photograph,Nickelback,2005,alternative metal,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",65.0,Solo
43,Photograph,Nickelback,2005,alternative metal,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",63.0,Solo
43,Photograph,Nickelback,2005,alternative metal,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",55.0,Solo
44,Lonely,Akon,2005,dance pop,"['dance pop', 'pop', 'pop rap']",59.0,Solo
45,Collide,Howie Day,2005,acoustic pop,"['acoustic pop', 'neo mellow', 'pop rock']",65.0,Solo
46,Wake Me Up When September Ends,Green Day,2005,permanent wave,"['permanent wave', 'pop punk', 'punk', 'rock']",74.0,Solo
47,Slow Down,Bobby Valentino,2005,,,59.0,Solo
47,Slow Down,Bobby Valentino,2005,,,20.0,Solo
47,Slow Down,Bobby Valentino,2005,,,6.0,Solo
48,Over and Over,Nelly,2005,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",7.0,Solo
48,Over and Over,Nelly,2005,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",16.0,Solo
48,Over and Over,Nelly,2005,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",0.0,Solo
48,Over and Over,Tim McGraw,2005,contemporary country,"['contemporary country', 'country', 'country road']",7.0,Solo
48,Over and Over,Tim McGraw,2005,contemporary country,"['contemporary country', 'country', 'country road']",16.0,Solo
48,Over and Over,Tim McGraw,2005,contemporary country,"['contemporary country', 'country', 'country road']",0.0,Solo
49,Some Cut,Trillville,2005,atl hip hop,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
50,Get It Poppin',Fat Joe,2005,dance pop,"['dance pop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap music']",,
50,Get It Poppin',Nelly,2005,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",,
51,Play,David Banner,2005,conscious hip hop,"['conscious hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",51.0,Solo
51,Play,David Banner,2005,conscious hip hop,"['conscious hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",51.0,Solo
52,Soul Survivor,Young Jeezy,2005,,,50.0,Collaboration
52,Soul Survivor,Akon,2005,dance pop,"['dance pop', 'pop', 'pop rap']",50.0,Collaboration
53,Pimpin' All Over the World,Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",53.0,Collaboration
53,Pimpin' All Over the World,Bobby Valentino,2005,,,53.0,Collaboration
54,My Boo,Usher,2005,atl hip hop,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",42.0,Solo
54,My Boo,Alicia Keys,2005,hip pop,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",42.0,Solo
55,Sugar (Gimme Some),Trick Daddy,2005,crunk,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
55,Sugar (Gimme Some),Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
55,Sugar (Gimme Some),Lil' Kim,2005,dance pop,"['dance pop', 'east coast hip hop', 'escape room', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",,
55,Sugar (Gimme Some),Cee Lo Green,2005,,,,
56,Karma,Alicia Keys,2005,hip pop,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",67.0,Solo
56,Karma,Alicia Keys,2005,hip pop,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",49.0,Solo
56,Karma,Alicia Keys,2005,hip pop,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",55.0,Solo
57,Speed of Sound,Coldplay,2005,permanent wave,"['permanent wave', 'pop']",67.0,Solo
58,I Don't Want to Be,Gavin DeGraw,2005,acoustic pop,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",61.0,Solo
59,Mockingbird,Eminem,2005,detroit hip hop,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",44.0,Solo
59,Mockingbird,Eminem,2005,detroit hip hop,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",71.0,Solo
59,Mockingbird,Eminem,2005,detroit hip hop,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",16.0,Solo
60,La Tortura,Shakira,2005,colombian pop,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",,
60,La Tortura,Alejandro Sanz,2005,cantautor,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop', 'tropical']",,
61,She Will Be Loved,Maroon 5,2005,pop,['pop'],70.0,Solo
62,Baby I'm Back,Baby Bash,2005,chicano rap,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",,
62,Baby I'm Back,Akon,2005,dance pop,"['dance pop', 'pop', 'pop rap']",,
63,Wait (The Whisper Song),Ying Yang Twins,2005,atl hip hop,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",59.0,Solo
64,Incomplete,Backstreet Boys,2005,boy band,"['boy band', 'dance pop', 'europop']",62.0,Solo
64,Incomplete,Backstreet Boys,2005,boy band,"['boy band', 'dance pop', 'europop']",60.0,Solo
65,Bring Em Out,T.I.,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",62.0,Solo
66,Cater 2 U,Destiny's Child,2005,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",53.0,Solo
67,1 Thing,Amerie,2005,alternative r&b,"['alternative r&b', 'dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",58.0,Solo
68,Best of You,Foo Fighters,2005,alternative metal,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",72.0,Solo
69,It's Like That,Mariah Carey,2005,dance pop,"['dance pop', 'pop', 'r&b', 'urban contemporary']",56.0,Collaboration
69,It's Like That,Jermaine Dupri,2005,atl hip hop,"['atl hip hop', 'dirty south rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop']",56.0,Collaboration
69,It's Like That,Fatman Scoop,2005,nyc rap,['nyc rap'],56.0,Collaboration
70,Goin' Crazy,Natalie,2005,-,[],47.0,Solo
70,Goin' Crazy,Natalie,2005,-,[],0.0,Solo
71,Inside Your Heaven,Carrie Underwood,2005,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",41.0,Solo
71,Inside Your Heaven,Carrie Underwood,2005,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",14.0,Solo
72,Because of You,Kelly Clarkson,2005,australian pop,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",70.0,Solo
72,Because of You,Kelly Clarkson,2005,australian pop,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",68.0,Solo
72,Because of You,Kelly Clarkson,2005,australian pop,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",39.0,Solo
72,Because of You,Kelly Clarkson,2005,australian pop,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",40.0,Solo
72,Because of You,Kelly Clarkson,2005,australian pop,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",7.0,Solo
73,Truth Is,Fantasia,2005,dance pop,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",47.0,Solo
74,Your Body,Pretty Ricky,2005,dance pop,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",56.0,Solo
74,Your Body,Pretty Ricky,2005,dance pop,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",58.0,Solo
75,Beautiful Soul,Jesse McCartney,2005,dance pop,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",51.0,Solo
76,Cool,Gwen Stefani,2005,dance pop,"['dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop']",52.0,Solo
77,Get Back,Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",47.0,Solo
77,Get Back,Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",55.0,Solo
77,Get Back,Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,Solo
78,Outta Control,50 Cent,2005,east coast hip hop,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",49.0,Solo
78,Outta Control,Mobb Deep,2005,east coast hip hop,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",49.0,Solo
79,U Don't Know Me,T.I.,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",53.0,Solo
80,These Words,Natasha Bedingfield,2005,dance pop,"['dance pop', 'europop', 'folk-pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",63.0,Solo
81,Don't Lie,The Black Eyed Peas,2005,dance pop,"['dance pop', 'pop', 'pop rap']",57.0,Solo
82,Get Right,Jennifer Lopez,2005,dance pop,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",61.0,Solo
83,Daughters,John Mayer,2005,neo mellow,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",67.0,Solo
84,As Good as I Once Was,Toby Keith,2005,contemporary country,"['contemporary country', 'country', 'country road']",64.0,Solo
85,Girlfight,Brooke Valentine,2005,deep pop r&b,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']",39.0,Collaboration
85,Girlfight,Lil Jon,2005,atl hip hop,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'pop rap', 'southern hip hop']",39.0,Collaboration
85,Girlfight,Big Boi,2005,atl hip hop,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'southern hip hop']",39.0,Collaboration
86,Lose My Breath,Destiny's Child,2005,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",55.0,Solo
87,Ordinary People,John Legend,2005,neo mellow,"['neo mellow', 'neo soul', 'pop', 'r&b', 'urban contemporary']",66.0,Solo
88,We Be Burnin',Sean Paul,2005,dance pop,"['dance pop', 'dancehall']",50.0,Solo
88,We Be Burnin',Sean Paul,2005,-,[],50.0,Solo
89,Just the Girl,The Click Five,2005,boy band,"['boy band', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']",58.0,Solo
90,True,Ryan Cabrera,2005,neo mellow,"['neo mellow', 'pop rock']",62.0,Solo
90,True,Ryan Cabrera,2005,neo mellow,"['neo mellow', 'pop rock']",41.0,Solo
91,O,Omarion,2005,dance pop,"['dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",43.0,Solo
92,Back Then,Mike Jones,2005,dirty south rap,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",57.0,Solo
92,Back Then,Mike Jones,2005,-,[],57.0,Solo
92,Back Then,Mike Jones,2005,-,[],57.0,Solo
93,Numb/Encore,Jay-Z,2005,,,,
93,Numb/Encore,Linkin Park,2005,alternative metal,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",,
94,Wonderful,Ja Rule,2005,dance pop,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",55.0,Solo
94,Wonderful,Ja Rule,2005,dance pop,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",42.0,Solo
94,Wonderful,Ja Rule,2005,dance pop,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",14.0,Solo
94,Wonderful,Ja Rule,2005,dance pop,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",58.0,Collaboration
94,Wonderful,R. Kelly,2005,-,[],55.0,Solo
94,Wonderful,R. Kelly,2005,-,[],42.0,Solo
94,Wonderful,R. Kelly,2005,-,[],14.0,Solo
94,Wonderful,R. Kelly,2005,-,[],58.0,Collaboration
94,Wonderful,Ashanti,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",55.0,Solo
94,Wonderful,Ashanti,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",42.0,Solo
94,Wonderful,Ashanti,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",14.0,Solo
94,Wonderful,Ashanti,2005,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",58.0,Collaboration
95,I'm Sprung,T-Pain,2005,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",65.0,Solo
96,Chariot,Gavin DeGraw,2005,acoustic pop,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",58.0,Solo
97,U Already Know,112,2005,atl hip hop,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",48.0,Solo
97,U Already Know,Foxy Brown,2005,east coast hip hop,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop']",48.0,Solo
98,Mississippi Girl,Faith Hill,2005,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",47.0,Solo
99,Number One Spot,Ludacris,2005,atl hip hop,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",44.0,Solo
100,Give Me That,Webbie,2005,baton rouge rap,"['baton rouge rap', 'crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",34.0,Collaboration
100,Give Me That,Bun B,2005,dirty south rap,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",34.0,Collaboration
1,Bad Day,Daniel Powter,2006,canadian pop,"['canadian pop', 'neo mellow', 'pop rock']",48.0,Solo
1,Bad Day,Daniel Powter,2006,canadian pop,"['canadian pop', 'neo mellow', 'pop rock']",19.0,Solo
1,Bad Day,Daniel Powter,2006,canadian pop,"['canadian pop', 'neo mellow', 'pop rock']",74.0,Solo
1,Bad Day,Daniel Powter,2006,canadian pop,"['canadian pop', 'neo mellow', 'pop rock']",35.0,Solo
2,Temperature,Sean Paul,2006,dance pop,"['dance pop', 'dancehall']",74.0,Solo
2,Temperature,Sean Paul,2006,-,[],74.0,Solo
3,Promiscuous,Nelly Furtado,2006,canadian latin,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rock']",,
3,Promiscuous,Timbaland,2006,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",,
4,You're Beautiful,James Blunt,2006,neo mellow,"['neo mellow', 'pop', 'pop rock']",74.0,Solo
5,Hips Don't Lie,Shakira,2006,colombian pop,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",,
5,Hips Don't Lie,Wyclef Jean,2006,pop,"['pop', 'rap kreyol']",,
6,Unwritten,Natasha Bedingfield,2006,dance pop,"['dance pop', 'europop', 'folk-pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",75.0,Solo
8,Ridin',Chamillionaire,2006,dirty south rap,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",67.0,Collaboration
8,Ridin',Krayzie Bone,2006,dirty south rap,"['dirty south rap', 'gangster rap']",67.0,Collaboration
9,SexyBack,Justin Timberlake,2006,dance pop,"['dance pop', 'pop']",,
9,SexyBack,Timbaland,2006,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",,
10,Check on It,Beyoncé,2006,dance pop,"['dance pop', 'pop', 'r&b']",,
10,Check on It,Slim Thug,2006,crunk,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
11,Be Without You,Mary J. Blige,2006,dance pop,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",,
12,Grillz,Nelly,2006,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",,
12,Grillz,Paul Wall,2006,crunk,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
12,Grillz,Ali & Gipp,2006,dirty south rap,"['dirty south rap', 'southern hip hop']",,
13,Over My Head (Cable Car),The Fray,2006,modern rock,"['modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']",68.0,Solo
14,Me & U,Cassie,2006,dance pop,"['dance pop', 'deep pop r&b', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",69.0,Solo
15,Buttons,Pussycat Dolls,2006,,,,
15,Buttons,Snoop Dogg,2006,g funk,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",,
16,Run It!,Chris Brown,2006,dance pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",30.0,Solo
