billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
36,With Arms Wide Open,Creed,2000,alternative metal,"['alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",37.0,Solo
37,Be with You,Enrique Iglesias,2000,dance pop,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",52.0,Solo
37,Be with You,Enrique Iglesias,2000,dance pop,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",16.0,Solo
38,Come On Over Baby (All I Want Is You),Christina Aguilera,2000,dance pop,"['dance pop', 'europop', 'pop', 'post-teen pop', 'uk pop']",0.0,Solo
39,No More,Ruff Endz,2000,new jack swing,"['new jack swing', 'r&b', 'urban contemporary']",48.0,Solo
40,All the Small Things,Blink 182,2000,,,77.0,Solo
41,The Way You Love Me,Faith Hill,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",55.0,Solo
41,The Way You Love Me,Faith Hill,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",41.0,Solo
42,I Turn to You,Christina Aguilera,2000,dance pop,"['dance pop', 'europop', 'pop', 'post-teen pop', 'uk pop']",55.0,Solo
43,Never Let You Go,Third Eye Blind,2000,alternative rock,"['alternative rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge', 'rock']",53.0,Solo
43,Never Let You Go,Third Eye Blind,2000,alternative rock,"['alternative rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge', 'rock']",18.0,Solo
43,Never Let You Go,Third Eye Blind,2000,alternative rock,"['alternative rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge', 'rock']",28.0,Solo
43,Never Let You Go,Third Eye Blind,2000,alternative rock,"['alternative rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge', 'rock']",29.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",52.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",32.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",17.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",18.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",9.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",56.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",4.0,Solo
44,I Need You,LeAnn Rimes,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",3.0,Solo
