year,genre,song_count,avg_words,avg_ttr,collab_count,avg_artists,genre_pct,collab_rate
2000,-,5,538.0,0.2228776418777171,1,1.2,5.1,20.0
2000,acoustic pop,1,388.0,0.29896907216494845,0,1.0,1.0,0.0
2000,alternative hip hop,1,881.0,0.33825198637911463,0,1.0,1.0,0.0
2000,alternative metal,6,352.6666666666667,0.3116093332284407,0,1.0,6.1,0.0
2000,alternative rock,3,326.0,0.2921265665452178,0,1.0,3.1,0.0
2000,atl hip hop,3,709.0,0.22210376162575188,0,1.0,3.1,0.0
2000,australian pop,3,420.6666666666667,0.2218204420576316,0,1.0,3.1,0.0
2000,blues-rock,2,400.5,0.3213973690122563,0,1.0,2.0,0.0
2000,boy band,5,463.2,0.26325984098677263,0,1.0,5.1,0.0
2000,bubblegum dance,1,613.0,0.12398042414355628,0,1.0,1.0,0.0
2000,chicago rap,1,592.0,0.38682432432432434,0,1.0,1.0,0.0
2000,conscious hip hop,1,881.0,0.33825198637911463,0,1.0,1.0,0.0
2000,contemporary country,11,306.8181818181818,0.35063574451866814,0,1.0,11.2,0.0
2000,country,1,278.0,0.4064748201438849,0,1.0,1.0,0.0
2000,crunk,1,901.0,0.29189789123196447,0,1.0,1.0,0.0
2000,dance pop,28,910.9642857142857,0.2602348256419071,0,1.0,28.6,0.0
2000,deep latin christian,1,273.0,0.5091575091575091,0,1.0,1.0,0.0
2000,deep pop r&b,1,494.0,0.22469635627530365,0,1.0,1.0,0.0
2000,detroit hip hop,2,1020.5,0.33751748757778954,0,1.0,2.0,0.0
2000,dirty south rap,1,837.0,0.34050179211469533,0,1.0,1.0,0.0
2000,east coast hip hop,1,937.0,0.2902881536819637,0,1.0,1.0,0.0
2000,eurodance,1,115.0,0.12173913043478261,0,1.0,1.0,0.0
2000,funk,1,458.0,0.2663755458515284,0,1.0,1.0,0.0
2000,g funk,3,636.0,0.41714097351939344,0,1.0,3.1,0.0
2000,girl group,1,422.0,0.23696682464454977,0,1.0,1.0,0.0
2000,gospel,1,579.0,0.20898100172711573,0,1.0,1.0,0.0
2000,hip hop,1,365.0,0.27945205479452057,0,1.0,1.0,0.0
2000,hip pop,1,606.0,0.1782178217821782,0,1.0,1.0,0.0
2000,latin,2,415.0,0.2030566410242931,0,1.0,2.0,0.0
2000,neo mellow,4,349.25,0.3255413115696658,0,1.0,4.1,0.0
2000,neo soul,1,412.0,0.21844660194174756,0,1.0,1.0,0.0
2000,new jack swing,2,507.5,0.35882699675803126,0,1.0,2.0,0.0
2000,permanent wave,1,336.0,0.30357142857142855,0,1.0,1.0,0.0
2001,-,9,707.0,0.28770909520334925,0,1.0,7.7,0.0
2001,album rock,1,245.0,0.3795918367346939,0,1.0,0.9,0.0
2001,alternative hip hop,1,497.0,0.35412474849094566,0,1.0,0.9,0.0
2001,alternative metal,10,338.2,0.3074831150917177,0,1.0,8.5,0.0
2001,atl hip hop,10,682.6,0.25568474493368065,0,1.0,8.5,0.0
2001,australian pop,1,441.0,0.24489795918367346,0,1.0,0.9,0.0
2001,boy band,1,429.0,0.2727272727272727,0,1.0,0.9,0.0
2001,british soul,1,545.0,0.3743119266055046,0,1.0,0.9,0.0
2001,canadian latin,2,554.5,0.18947825464763812,0,1.0,1.7,0.0
2001,canadian pop,1,512.0,0.236328125,0,1.0,0.9,0.0
2001,celtic,1,126.0,0.30952380952380953,0,1.0,0.9,0.0
2001,classic soul,2,526.5,0.4483292105875559,0,1.0,1.7,0.0
2001,conscious hip hop,1,1108.0,0.29422382671480146,0,1.0,0.9,0.0
2001,contemporary country,13,316.46153846153845,0.333979732459446,1,1.0769230769230769,11.1,7.7
2001,crunk,3,745.0,0.2670753123944613,0,1.0,2.6,0.0
2001,dance pop,40,826.225,0.2785211516458007,1,1.025,34.2,2.5
2001,disco,1,743.0,0.2018842530282638,0,1.0,0.9,0.0
2001,downtempo,1,209.0,0.37799043062200954,0,1.0,0.9,0.0
2001,girl group,2,688.0,0.2176239649549258,0,1.0,1.7,0.0
2001,hip pop,8,611.25,0.28878116119580427,0,1.0,6.8,0.0
2001,irish rock,1,306.0,0.42810457516339867,0,1.0,0.9,0.0
2001,jam band,1,333.0,0.3993993993993994,0,1.0,0.9,0.0
2001,neo mellow,3,389.0,0.28610681601721266,0,1.0,2.6,0.0
2001,nyc rap,1,649.0,0.41756548536209553,0,1.0,0.9,0.0
2001,permanent wave,1,327.0,0.2324159021406728,0,1.0,0.9,0.0
2001,reggae fusion,1,591.0,0.2656514382402707,0,1.0,0.9,0.0
2002,-,7,595.2857142857143,0.2722954676038681,0,1.0,5.9,0.0
2002,acoustic pop,1,252.0,0.4126984126984127,0,1.0,0.8,0.0
2002,alaska indie,1,302.0,0.31456953642384106,0,1.0,0.8,0.0
2002,alternative hip hop,1,853.0,0.3516998827667057,0,1.0,0.8,0.0
2002,alternative metal,7,327.14285714285717,0.2880770362293402,0,1.0,5.9,0.0
2002,alternative rock,1,471.0,0.3078556263269639,0,1.0,0.8,0.0
2002,atl hip hop,8,674.125,0.33600762984251276,0,1.0,6.8,0.0
2002,australian dance,1,394.0,0.13451776649746192,0,1.0,0.8,0.0
2002,australian pop,1,279.0,0.3046594982078853,0,1.0,0.8,0.0
2002,big beat,1,196.0,0.2193877551020408,0,1.0,0.8,0.0
2002,boy band,1,486.0,0.39711934156378603,0,1.0,0.8,0.0
2002,british soul,1,527.0,0.35294117647058826,0,1.0,0.8,0.0
2002,canadian latin,1,553.0,0.2332730560578662,0,1.0,0.8,0.0
