song_id,song_name,year,ranking,artist_name,artist_position,artist_role,word_count,artist_genre,artist_genres,match_method
2722,Sucker for Pain,2016,68,Logic,1,primary,663.0,conscious hip hop,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",artist_name
2723,Sucker for Pain,2016,68,Ty Dolla Sign,1,primary,124.0,,,artist_name
2724,Sucker for Pain,2016,68,Wiz Khalifa,1,primary,663.0,hip hop,"['hip hop', 'pittsburgh rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2725,Sucker for Pain,2016,68,X Ambassadors,1,primary,663.0,modern alternative rock,"['modern alternative rock', 'modern rock', 'pop', 'stomp pop', 'uk pop']",artist_name
2726,Suffocate,2008,64,J. Holiday,1,primary,507.0,bassline,"['bassline', 'dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",artist_name
2727,Suga Suga,2003,77,Baby Bash,1,primary,598.0,chicano rap,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",artist_name
2728,Suga Suga,2004,46,Baby Bash,1,primary,598.0,chicano rap,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",artist_name
2729,Suga Suga,2003,77,Frankie J,1,primary,598.0,dance pop,"['dance pop', 'r&b', 'urban contemporary']",artist_name
2730,Suga Suga,2004,46,Frankie J,1,primary,598.0,dance pop,"['dance pop', 'r&b', 'urban contemporary']",artist_name
2731,Sugar,2009,58,Flo Rida,1,primary,801.0,dance pop,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",artist_name
2732,Sugar,2015,5,Maroon 5,1,primary,514.0,pop,['pop'],artist_name
2733,Sugar,2009,58,Wynter,1,primary,801.0,-,[],artist_name
2734,Sugar (Gimme Some),2005,55,Cee Lo Green,1,primary,491.0,atl hip hop,,lyrics_1.00
2735,Sugar (Gimme Some),2005,55,Lil' Kim,1,primary,710.0,dance pop,"['dance pop', 'east coast hip hop', 'escape room', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",artist_name
