genre_1,genre_2,early_count,late_count,absolute_growth,percent_growth
complextro,electro house,0,1,1,
memphis hip hop,trap music,2,3,1,50
deep groove house,edm,0,1,1,
dance pop,moombahton,0,1,1,
alternative dance,modern rock,0,1,1,
indie r&b,pop rap,0,1,1,
baroque pop,permanent wave,0,1,1,
bmore,ninja,0,1,1,
country road,modern uplift,0,1,1,
r&b,uk contemporary r&b,0,1,1,
hip house,rap,0,1,1,
contemporary country,country road,37,38,1,2.7
modern blues rock,south african rock,0,1,1,
australian indie,pop,0,1,1,
boy band,uk pop,0,1,1,
indie folk,metropopolis,0,1,1,
dmv rap,rap,0,1,1,
baroque pop,singer-songwriter,0,1,1,
deep pop r&b,metropopolis,0,1,1,
moombahton,tropical house,0,1,1,
dance pop,disco,0,1,1,
adult standards,brill building pop,0,1,1,
brill building pop,lounge,0,1,1,
rap,trap soul,0,1,1,
indietronica,nz pop,0,1,1,
edm,swedish electropop,0,1,1,
candy pop,electropop,1,2,1,100
glam rock,rock,0,1,1,
big room,progressive house,1,2,1,100
dirty south rap,memphis hip hop,2,3,1,50
memphis hip hop,pop rap,2,3,1,50
bmore,moombahton,0,1,1,
candy pop,swedish electropop,0,1,1,
canadian contemporary r&b,dance pop,0,1,1,
drill,trap music,0,1,1,
modern country rock,pop,0,1,1,
etherpop,indie poptimism,0,1,1,
hip hop,hip house,0,1,1,
australian dance,pop,1,2,1,100
brostep,edm,0,1,1,
dance pop,k-pop,0,1,1,
indietronica,uk alternative pop,0,1,1,
canadian hip hop,hip hop,1,2,1,100
dance pop,reggaeton,0,1,1,
disco,soft rock,0,1,1,
indietronica,tropical house,0,1,1,
new wave,singer-songwriter,0,1,1,
bergen indie,folk-pop,0,1,1,
deep pop r&b,electropop,0,1,1,
electropop,etherpop,0,1,1,
rap,west coast trap,0,1,1,
modern country rock,modern uplift,0,1,1,
europop,new wave,0,1,1,
adult standards,nashville sound,0,1,1,
easy listening,vocal jazz,0,1,1,
canadian contemporary r&b,canadian pop,0,1,1,
modern country rock,red dirt,0,1,1,
etherpop,pop,0,1,1,
hyphy,west coast trap,0,1,1,
candy pop,swedish synthpop,0,1,1,
pop,stomp and holler,0,1,1,
modern rock,uk americana,0,1,1,
alternative r&b,viral pop,0,1,1,
broadway,hollywood,0,1,1,
danish pop,electropop,0,1,1,
brill building pop,easy listening,0,1,1,
swedish synthpop,tropical house,0,1,1,
electro,hardcore hip hop,0,1,1,
bass trap,vapor twitch,0,1,1,
classic rock,soft rock,0,1,1,
art pop,permanent wave,0,1,1,
hollywood,show tunes,0,1,1,
pop,progressive house,2,3,1,50
hip hop,toronto rap,1,2,1,100
brostep,electro house,0,1,1,
disco house,tropical house,0,1,1,
alternative r&b,trap soul,0,1,1,
baroque pop,new wave pop,0,1,1,
east coast hip hop,electro,0,1,1,
metropopolis,stomp and holler,0,1,1,
memphis hip hop,pop,0,1,1,
pop,trap soul,0,1,1,
art rock,piano rock,0,1,1,
electro house,progressive electro house,1,2,1,100
canadian pop,rap,1,2,1,100
modern blues rock,modern rock,0,1,1,
rap conscient,trap music,0,1,1,
indie folk,indie pop,0,1,1,
new wave pop,soft rock,0,1,1,
outlaw country,red dirt,0,1,1,
atl hip hop,hip hop,13,14,1,7.69
pittsburgh rap,rap,1,2,1,100
conscious hip hop,west coast rap,0,1,1,
nz pop,pop,0,1,1,
edm,house,1,2,1,100
disco,new wave,0,1,1,
disco,new wave pop,0,1,1,
easy listening,rockabilly,0,1,1,
lounge,vocal jazz,0,1,1,
alternative r&b,trap music,0,1,1,
art rock,baroque pop,0,1,1,
electropop,folk-pop,0,1,1,
crunk,memphis hip hop,1,2,1,100
disco house,house,0,1,1,
modern rock,tropical house,0,1,1,
scorecore,soundtrack,0,1,1,
art rock,new wave,0,1,1,
pop,progressive electro house,1,2,1,100
electro house,electronic trap,0,1,1,
danish pop,scandipop,0,1,1,
dirty south rap,viral trap,0,1,1,
new jersey rap,trap music,0,1,1,
pop rap,uk contemporary r&b,0,1,1,
electro,hip hop,0,1,1,
gangster rap,hip house,0,1,1,
rap latina,reggaeton,0,1,1,
conscious hip hop,rap,4,5,1,25
hyphy,pop rap,1,2,1,100
cubaton,pop,0,1,1,
broadway,show tunes,0,1,1,
canadian contemporary r&b,post-teen pop,0,1,1,
pop rap,toronto rap,2,3,1,50
australian electropop,australian indie,0,1,1,
australian electropop,pop,0,1,1,
uk dance,uk funky,0,1,1,
canadian pop,electropop,0,1,1,
country road,post-teen pop,0,1,1,
post-teen pop,swedish synthpop,0,1,1,
indie folk,neo mellow,0,1,1,
indie r&b,uk alternative pop,0,1,1,
contemporary country,texas country,1,2,1,100
electropop,indietronica,1,2,1,100
colombian pop,pop,1,2,1,100
indie poptimism,viral pop,0,1,1,
cubaton,reggaeton,0,1,1,
la indie,stomp pop,0,1,1,
motown,soft rock,0,1,1,
art rock,dance rock,0,1,1,
electropop,talent show,0,1,1,
bergen indie,nz pop,0,1,1,
chicago drill,southern hip hop,0,1,1,
nc hip hop,rap,0,1,1,
disco house,uk dance,0,1,1,
rap conscient,vapor trap,0,1,1,
nz pop,uk pop,0,1,1,
folk rock,rock,0,1,1,
baroque pop,new wave,0,1,1,
baroque pop,piano rock,0,1,1,
canadian contemporary r&b,rap,0,1,1,
hip hop,pop,30,31,1,3.33
philly rap,trap music,1,2,1,100
new romantic,new wave,0,1,1,
europop,tropical house,0,1,1,
country,pop,1,2,1,100
art rock,soft rock,0,1,1,
canadian pop,viral pop,0,1,1,
metropopolis,swedish pop,0,1,1,
mellow gold,piano rock,0,1,1,
house,pop,2,3,1,50
modern rock,south african rock,0,1,1,
afro dancehall,azonto,0,1,1,
alternative r&b,indie r&b,0,1,1,
dance rock,singer-songwriter,0,1,1,
dance pop,danish pop,0,1,1,
scandipop,swedish pop,0,1,1,
afro dancehall,nigerian pop,0,1,1,
alternative r&b,lgbtq+ hip hop,0,1,1,
art rock,new wave pop,0,1,1,
irish singer-songwriter,pop,0,1,1,
gangster rap,memphis hip hop,2,3,1,50
bass trap,electro house,0,1,1,
australian dance,australian indie,0,1,1,
gauze pop,shiver pop,0,1,1,
hip hop,vapor trap,0,1,1,
edm,swedish pop,0,1,1,
indie r&b,indietronica,0,1,1,
pop,rap latina,0,1,1,
edm,progressive house,2,3,1,50
contemporary country,outlaw country,1,2,1,100
country road,outlaw country,1,2,1,100
k-pop,k-pop boy group,0,1,1,
new romantic,new wave pop,0,1,1,
alternative r&b,chicago rap,0,1,1,
lgbtq+ hip hop,rap,0,1,1,
art pop,singer-songwriter,0,1,1,
folk-pop,indietronica,0,1,1,
adult standards,vocal jazz,0,1,1,
drill,pop rap,0,1,1,
electro house,german techno,0,1,1,
folk-pop,metropopolis,0,1,1,
new jersey rap,pop,0,1,1,
bass trap,brostep,0,1,1,
miami hip hop,viral trap,0,1,1,
afro dancehall,afropop,0,1,1,
cubaton,latin pop,0,1,1,
europop,soft rock,0,1,1,
indie r&b,southern hip hop,0,1,1,
dance rock,piano rock,0,1,1,
hardcore hip hop,hip house,0,1,1,
florida rap,rap,0,1,1,
florida rap,southern hip hop,0,1,1,
hyphy,rap,1,2,1,100
electro house,uk pop,0,1,1,
new romantic,soft rock,0,1,1,
classic rock,mellow gold,0,1,1,
country road,deep talent show,0,1,1,
trap music,west coast trap,0,1,1,
brostep,complextro,0,1,1,
edm,electro,0,1,1,
electropop,modern alternative rock,0,1,1,
motown,new wave,0,1,1,
adult standards,rockabilly,0,1,1,
canadian contemporary r&b,uk pop,0,1,1,
chicago rap,trap music,2,3,1,50
indie poptimism,neo mellow,0,1,1,
rock,stomp pop,0,1,1,
dance pop,new romantic,0,1,1,
house,indietronica,0,1,1,
chicago rap,indie r&b,0,1,1,
neo soul,underground hip hop,0,1,1,
florida rap,pop rap,0,1,1,
la indie,modern alternative rock,0,1,1,
edm,german techno,0,1,1,
modern country rock,post-teen pop,0,1,1,
indietronica,modern rock,1,2,1,100
baroque pop,lilith,0,1,1,
art pop,metropopolis,0,1,1,
candy pop,uk pop,0,1,1,
complextro,german techno,0,1,1,
electropop,scandipop,0,1,1,
country road,texas country,1,2,1,100
deep groove house,house,0,1,1,
deep groove house,tropical house,0,1,1,
atl trap,deep southern trap,0,1,1,
chicago drill,trap music,0,1,1,
folk-pop,irish singer-songwriter,0,1,1,
alternative r&b,neo soul,1,2,1,100
brostep,electronic trap,0,1,1,
australian indie,downtempo,0,1,1,
cubaton,latin hip hop,0,1,1,
new wave,soft rock,0,1,1,
dfw rap,pop,0,1,1,
classic rock,folk rock,0,1,1,
indie r&b,rap,0,1,1,
art pop,electropop,0,1,1,
piano rock,rock,0,1,1,
modern country rock,texas country,1,2,1,100
indie pop,modern rock,3,4,1,33.33
hip hop,pittsburgh rap,1,2,1,100
electro house,vapor twitch,0,1,1,
brostep,progressive electro house,0,1,1,
indietronica,pop rock,0,1,1,
dance rock,motown,0,1,1,
hip hop,indie pop rap,0,1,1,
hyphy,pop,0,1,1,
big room,progressive electro house,1,2,1,100
afropop,azonto,0,1,1,
boy band,talent show,0,1,1,
dance rock,new romantic,0,1,1,
dance pop,soft rock,0,1,1,
canadian pop,uk pop,0,1,1,
portland hip hop,rap,0,1,1,
house,uk contemporary r&b,0,1,1,
pop,viral trap,0,1,1,
pop,stomp pop,0,1,1,
modern rock,uk pop,0,1,1,
electro,filter house,0,1,1,
pop rap,vapor trap,0,1,1,
deep pop r&b,underground hip hop,0,1,1,
atl hip hop,viral trap,0,1,1,
conscious hip hop,pop rap,4,5,1,25
bass trap,electronic trap,0,1,1,
pop,uk funky,0,1,1,
nashville sound,vocal jazz,0,1,1,
east coast hip hop,hip house,0,1,1,
electro,new jack swing,0,1,1,
dance rock,disco,0,1,1,
australian hip hop,pop,0,1,1,
hip hop,lgbtq+ hip hop,0,1,1,
piano rock,singer-songwriter,0,1,1,
complextro,post-teen pop,0,1,1,
hip house,new jack swing,0,1,1,
progressive house,tropical house,1,2,1,100
brostep,electro,0,1,1,
girl group,talent show,0,1,1,
reggae fusion,virgin islands reggae,0,1,1,
latin viral pop,reggaeton,0,1,1,
motown,new wave pop,0,1,1,
memphis hip hop,viral trap,0,1,1,
baroque pop,dance rock,0,1,1,
metropopolis,pop rap,0,1,1,
neo soul,uk pop,0,1,1,
contemporary country,post-teen pop,1,2,1,100
country,post-teen pop,1,2,1,100
uk dance,uk pop,0,1,1,
australian hip hop,pop rap,0,1,1,
chicago drill,rap,0,1,1,
deep groove house,uk dance,0,1,1,
electro house,electropop,0,1,1,
new jersey rap,pop rap,0,1,1,
post-teen pop,scandipop,0,1,1,
florida rap,miami hip hop,0,1,1,
latin pop,pop,3,4,1,33.33
disco house,edm,0,1,1,
afro dancehall,nigerian hip hop,0,1,1,
dance pop,uk dance,0,1,1,
motown,new romantic,0,1,1,
dfw rap,rap,0,1,1,
chicago rap,deep pop r&b,0,1,1,
pop rap,trap soul,0,1,1,
modern rock,shiver pop,0,1,1,
dance rock,europop,0,1,1,
art pop,new wave,0,1,1,
dance pop,nz pop,0,1,1,
edm,progressive electro house,1,2,1,100
moombahton,ninja,0,1,1,
pop,reggae fusion,0,1,1,
electropop,house,0,1,1,
album rock,mellow gold,0,1,1,
rock,soft rock,0,1,1,
alternative r&b,electropop,0,1,1,
art pop,nz pop,0,1,1,
indie pop,indie poptimism,0,1,1,
pop edm,uk pop,0,1,1,
art pop,baroque pop,0,1,1,
chicago drill,chicago rap,0,1,1,
chicago rap,drill,0,1,1,
florida rap,trap music,0,1,1,
big room,dance pop,1,2,1,100
edm,electronic trap,0,1,1,
art pop,lilith,0,1,1,
lilith,new wave,0,1,1,
metropopolis,nz pop,0,1,1,
swedish pop,swedish synthpop,0,1,1,
electro,rap,0,1,1,
glam rock,mellow gold,0,1,1,
gauze pop,modern rock,0,1,1,
indie pop,pop,2,3,1,50
electropop,pop rap,1,2,1,100
folk-pop,indie pop,0,1,1,
indie poptimism,metropopolis,0,1,1,
pop rap,west coast trap,0,1,1,
tropical house,viral pop,0,1,1,
country,neo mellow,1,2,1,100
australian dance,australian pop,1,2,1,100
indie pop,metropopolis,0,1,1,
art rock,mellow gold,0,1,1,
hip house,old school hip hop,0,1,1,
big room,electro house,1,2,1,100
modern alternative rock,south african rock,0,1,1,
contemporary country,modern uplift,0,1,1,
hip hop,indie r&b,0,1,1,
bergen indie,indietronica,0,1,1,
drill,hip hop,0,1,1,
dance pop,progressive electro house,1,2,1,100
bmore,edm,0,1,1,
folk-pop,nz pop,0,1,1,
modern country rock,neo mellow,0,1,1,
modern alternative rock,uk pop,0,1,1,
atl hip hop,electropop,0,1,1,
chicago drill,hip hop,0,1,1,
danish pop,tropical house,0,1,1,
electro,hip house,0,1,1,
atl trap,dirty south rap,0,1,1,
emo rap,trap music,0,1,1,
adult standards,easy listening,0,1,1,
lounge,rockabilly,0,1,1,
scandipop,tropical house,0,1,1,
neo-singer-songwriter,pop,0,1,1,
country pop,modern uplift,0,1,1,
art pop,dance rock,0,1,1,
dance pop,k-hop,0,1,1,
pop,uk contemporary r&b,0,1,1,
pittsburgh rap,pop rap,1,2,1,100
atl hip hop,deep southern trap,0,1,1,
conscious hip hop,underground hip hop,0,1,1,
art pop,art rock,0,1,1,
new wave,permanent wave,0,1,1,
complextro,pop,0,1,1,
dance pop,uk contemporary r&b,0,1,1,
latin pop,reggaeton,0,1,1,
modern alternative rock,rock,0,1,1,
dance pop,new wave,0,1,1,
indie pop rap,pop,0,1,1,
deep pop r&b,indie r&b,0,1,1,
edm,uk funky,0,1,1,
indietronica,shiver pop,0,1,1,
rockabilly,vocal jazz,0,1,1,
album rock,soft rock,0,1,1,
indie r&b,underground hip hop,0,1,1,
art pop,new wave pop,0,1,1,
neo mellow,uk pop,3,4,1,33.33
hyphy,trap music,1,2,1,100
art pop,pop,0,1,1,
edm,ninja,0,1,1,
alternative r&b,escape room,0,1,1,
latin viral pop,pop,0,1,1,
modern rock,pop rap,0,1,1,
contemporary country,neo mellow,1,2,1,100
hyphy,southern hip hop,1,2,1,100
contemporary country,pop,1,2,1,100
afropop,nigerian hip hop,0,1,1,
dance pop,motown,0,1,1,
atl trap,underground hip hop,0,1,1,
lounge,nashville sound,0,1,1,
drill,rap,0,1,1,
