genre_1,genre_2,co_occurrence_count
pop,pop,39
rap,rap,22
dance pop,dance pop,18
dance pop,pop,18
trap music,trap music,16
pop,post-teen pop,15
post-teen pop,post-teen pop,15
rap,trap music,15
dance pop,post-teen pop,14
pop rap,pop rap,14
pop rap,rap,13
contemporary country,contemporary country,11
pop,rap,11
pop,pop rap,10
rap,southern hip hop,9
southern hip hop,southern hip hop,9
southern hip hop,trap music,9
contemporary country,country road,9
country road,country road,9
pop rap,trap music,8
contemporary country,country,7
country,country,7
pop rap,southern hip hop,7
atl hip hop,atl hip hop,7
atl hip hop,rap,7
atl hip hop,trap music,7
hip hop,hip hop,6
hip hop,pop rap,6
hip hop,rap,6
pop,trap music,6
country,country road,6
hip hop,southern hip hop,5
hip hop,trap music,5
pop,southern hip hop,5
edm,edm,4
atl hip hop,southern hip hop,4
atl hip hop,pop,4
atl hip hop,pop rap,4
reggaeton,reggaeton,4
contemporary country,modern country rock,4
country,modern country rock,4
country road,modern country rock,4
modern country rock,modern country rock,4
electropop,electropop,3
electropop,pop,3
pop,tropical house,3
tropical house,tropical house,3
dance pop,r&b,3
pop,r&b,3
r&b,r&b,3
canadian pop,canadian pop,3
edm,pop,3
hip hop,pop,3
dance pop,pop rap,3
dance pop,electropop,2
electropop,post-teen pop,2
metropopolis,metropopolis,2
metropopolis,pop,2
metropopolis,tropical house,2
modern rock,modern rock,2
boy band,boy band,2
boy band,dance pop,2
boy band,pop,2
boy band,post-teen pop,2
canadian pop,pop,2
pop,uk pop,2
uk pop,uk pop,2
dance pop,edm,2
dance pop,tropical house,2
edm,tropical house,2
dance pop,rap,2
pop rap,r&b,2
atl hip hop,atl trap,2
atl trap,atl trap,2
atl trap,rap,2
atl trap,trap music,2
gangster rap,gangster rap,2
gangster rap,pop rap,2
gangster rap,rap,2
gangster rap,trap music,2
dirty south rap,dirty south rap,2
dirty south rap,hip hop,2
dirty south rap,pop rap,2
dirty south rap,rap,2
dirty south rap,southern hip hop,2
dirty south rap,trap music,2
reggaeton,trap latino,2
trap latino,trap latino,2
chicago rap,chicago rap,2
rap,vapor trap,2
trap music,vapor trap,2
vapor trap,vapor trap,2
latin,latin,2
latin,reggaeton,2
contemporary country,country pop,2
country,country pop,2
country pop,country pop,2
country pop,country road,2
country pop,modern country rock,2
country rap,country rap,1
dfw rap,dfw rap,1
dfw rap,pop,1
dfw rap,rap,1
dance pop,etherpop,1
dance pop,indie poptimism,1
electropop,etherpop,1
electropop,indie poptimism,1
etherpop,etherpop,1
etherpop,indie poptimism,1
etherpop,pop,1
etherpop,post-teen pop,1
indie poptimism,indie poptimism,1
indie poptimism,pop,1
indie poptimism,post-teen pop,1
brostep,brostep,1
brostep,progressive electro house,1
progressive electro house,progressive electro house,1
metropopolis,modern rock,1
modern rock,pop,1
modern rock,tropical house,1
baroque pop,baroque pop,1
baroque pop,emo,1
baroque pop,modern rock,1
baroque pop,pop punk,1
emo,emo,1
emo,modern rock,1
emo,pop punk,1
modern rock,pop punk,1
pop punk,pop punk,1
post-teen pop,r&b,1
canadian pop,viral pop,1
pop,viral pop,1
viral pop,viral pop,1
canadian pop,dance pop,1
canadian pop,post-teen pop,1
hip hop,philly rap,1
philly rap,philly rap,1
philly rap,pop,1
philly rap,pop rap,1
philly rap,rap,1
philly rap,southern hip hop,1
philly rap,trap music,1
canadian hip hop,canadian hip hop,1
canadian hip hop,canadian pop,1
canadian hip hop,hip hop,1
canadian hip hop,pop rap,1
canadian hip hop,rap,1
canadian hip hop,toronto rap,1
canadian pop,hip hop,1
canadian pop,pop rap,1
canadian pop,rap,1
canadian pop,toronto rap,1
hip hop,toronto rap,1
pop rap,toronto rap,1
rap,toronto rap,1
toronto rap,toronto rap,1
hollywood,hollywood,1
r&b,rap,1
conscious hip hop,conscious hip hop,1
conscious hip hop,nc hip hop,1
conscious hip hop,pop rap,1
conscious hip hop,rap,1
nc hip hop,nc hip hop,1
nc hip hop,pop rap,1
nc hip hop,rap,1
atl hip hop,gangster rap,1
atl trap,gangster rap,1
atl trap,pop,1
atl trap,pop rap,1
gangster rap,pop,1
florida rap,florida rap,1
florida rap,hip hop,1
florida rap,miami hip hop,1
florida rap,pop rap,1
florida rap,rap,1
florida rap,southern hip hop,1
florida rap,trap music,1
hip hop,miami hip hop,1
miami hip hop,miami hip hop,1
miami hip hop,pop rap,1
miami hip hop,rap,1
miami hip hop,southern hip hop,1
miami hip hop,trap music,1
dirty south rap,gangster rap,1
gangster rap,hip hop,1
gangster rap,southern hip hop,1
rap,underground hip hop,1
trap music,underground hip hop,1
underground hip hop,underground hip hop,1
underground hip hop,vapor trap,1
atl hip hop,dirty south rap,1
atl hip hop,hip hop,1
dirty south rap,pop,1
contemporary country,deep talent show,1
country road,deep talent show,1
deep talent show,deep talent show,1
australian pop,australian pop,1
australian pop,pop,1
australian pop,uk pop,1
cali rap,cali rap,1
cali rap,hip hop,1
cali rap,pop,1
cali rap,pop rap,1
cali rap,rap,1
