genre_1,genre_2,co_occurrence_count
pop rap,pop rap,37
dance pop,dance pop,35
hip pop,hip pop,28
southern hip hop,southern hip hop,26
hip hop,hip hop,26
r&b,r&b,25
urban contemporary,urban contemporary,25
pop rap,southern hip hop,24
hip hop,pop rap,23
r&b,urban contemporary,22
rap,rap,22
hip hop,rap,21
pop rap,rap,21
hip pop,urban contemporary,20
dance pop,pop rap,18
dance pop,urban contemporary,18
hip pop,r&b,18
dance pop,hip pop,18
gangster rap,gangster rap,18
pop,pop,17
dance pop,r&b,17
hip hop,southern hip hop,17
gangster rap,pop rap,17
trap music,trap music,16
hip pop,pop rap,16
dirty south rap,dirty south rap,15
pop rap,trap music,15
dance pop,pop,14
dirty south rap,pop rap,14
dirty south rap,southern hip hop,14
rap,southern hip hop,14
hip hop,hip pop,14
gangster rap,rap,14
dance pop,hip hop,13
neo soul,neo soul,13
hip pop,southern hip hop,13
gangster rap,hip hop,13
dance pop,southern hip hop,12
rap,trap music,12
southern hip hop,trap music,12
neo soul,r&b,12
neo soul,urban contemporary,12
gangster rap,southern hip hop,12
gangster rap,trap music,12
pop rap,urban contemporary,11
hip hop,trap music,11
pop rock,pop rock,11
atl hip hop,atl hip hop,10
hip pop,neo soul,10
post-grunge,post-grunge,10
dirty south rap,gangster rap,10
atl hip hop,pop rap,9
pop,pop rap,9
pop,r&b,9
pop,urban contemporary,9
dirty south rap,trap music,9
hip pop,rap,9
hip hop,urban contemporary,9
southern hip hop,urban contemporary,9
new jack swing,new jack swing,9
new jack swing,urban contemporary,9
pop rap,r&b,8
crunk,crunk,8
crunk,dirty south rap,8
crunk,pop rap,8
atl hip hop,southern hip hop,8
crunk,southern hip hop,8
dance pop,rap,8
dirty south rap,rap,8
hip pop,pop,8
hardcore hip hop,hardcore hip hop,8
dance pop,neo soul,8
neo soul,new jack swing,8
new jack swing,r&b,8
contemporary country,contemporary country,8
contemporary country,country,8
country,country,8
contemporary country,country road,8
country,country road,8
country road,country road,8
atl hip hop,dirty south rap,7
dirty south rap,hip hop,7
alternative metal,alternative metal,7
alternative metal,post-grunge,7
dance pop,post-teen pop,7
post-teen pop,post-teen pop,7
crunk,gangster rap,7
gangster rap,hip pop,7
hardcore hip hop,hip hop,7
hardcore hip hop,pop rap,7
hardcore hip hop,rap,7
hip pop,new jack swing,7
dance pop,dirty south rap,6
gangster rap,hardcore hip hop,6
hip pop,trap music,6
hip hop,r&b,6
r&b,southern hip hop,6
dance pop,new jack swing,6
atl hip hop,dance pop,5
atl hip hop,trap music,5
dance pop,trap music,5
alternative metal,nu metal,5
nu metal,nu metal,5
nu metal,post-grunge,5
pop rock,post-grunge,5
pop,post-teen pop,5
dirty south rap,hip pop,5
dance pop,gangster rap,5
hardcore hip hop,trap music,5
crunk,trap music,5
neo mellow,neo mellow,5
neo mellow,pop rock,5
hip hop,pop,5
neo soul,quiet storm,5
new jack swing,quiet storm,5
quiet storm,quiet storm,5
quiet storm,r&b,5
quiet storm,urban contemporary,5
atl hip hop,crunk,4
atl hip hop,hip hop,4
atl hip hop,rap,4
crunk,hip pop,4
east coast hip hop,east coast hip hop,4
east coast hip hop,hardcore hip hop,4
east coast hip hop,hip hop,4
east coast hip hop,pop rap,4
east coast hip hop,rap,4
crunk,rap,4
hip hop,neo soul,4
neo soul,southern hip hop,4
rap,urban contemporary,4
pop,southern hip hop,4
dance pop,quiet storm,4
hip pop,quiet storm,4
hip hop,new jack swing,4
new jack swing,southern hip hop,4
dance pop,pop rock,4
hardcore hip hop,southern hip hop,4
crunk,dance pop,3
east coast hip hop,gangster rap,3
east coast hip hop,hip pop,3
hardcore hip hop,hip pop,3
east coast hip hop,trap music,3
crunk,hip hop,3
chicago rap,chicago rap,3
neo soul,pop rap,3
rock,rock,3
pop,rap,3
battle rap,battle rap,3
battle rap,hip hop,3
battle rap,pop rap,3
battle rap,rap,3
battle rap,trap music,3
hip hop,quiet storm,3
atl hip hop,gangster rap,3
g funk,g funk,3
g funk,hip hop,3
g funk,rap,3
new jack swing,pop rap,3
dance pop,deep pop r&b,3
deep pop r&b,deep pop r&b,3
deep pop r&b,hip pop,3
deep pop r&b,r&b,3
deep pop r&b,urban contemporary,3
atl hip hop,r&b,2
atl hip hop,urban contemporary,2
neo soul,pop,2
atl hip hop,neo soul,2
alternative metal,funk metal,2
funk metal,funk metal,2
funk metal,nu metal,2
alternative metal,pop punk,2
nu metal,pop punk,2
pop punk,pop punk,2
alternative metal,pop rock,2
nu metal,pop rock,2
pop punk,pop rock,2
funk metal,post-grunge,2
pop punk,post-grunge,2
alternative metal,rap rock,2
funk metal,rap rock,2
nu metal,rap rock,2
post-grunge,rap rock,2
rap rock,rap rock,2
hip pop,post-teen pop,2
post-teen pop,r&b,2
post-teen pop,urban contemporary,2
bounce,bounce,2
bounce,dirty south rap,2
bounce,gangster rap,2
bounce,new orleans rap,2
dirty south rap,new orleans rap,2
gangster rap,new orleans rap,2
new orleans rap,new orleans rap,2
bounce,southern hip hop,2
new orleans rap,southern hip hop,2
bounce,trap music,2
new orleans rap,trap music,2
chicago rap,hip hop,2
chicago rap,pop rap,2
chicago rap,rap,2
alternative metal,canadian rock,2
canadian rock,canadian rock,2
canadian rock,nu metal,2
canadian rock,post-grunge,2
dirty south rap,urban contemporary,2
gangster rap,urban contemporary,2
soca,soca,2
new wave pop,new wave pop,2
permanent wave,permanent wave,2
new wave pop,pop rock,2
permanent wave,pop rock,2
battle rap,hip pop,2
battle rap,southern hip hop,2
quiet storm,southern hip hop,2
pop rock,post-teen pop,2
australian pop,australian pop,2
australian pop,dance pop,2
dance pop,electropop,2
electropop,electropop,2
electropop,hip pop,2
australian pop,pop,2
australian pop,post-teen pop,2
electropop,r&b,2
australian pop,uk pop,2
dance pop,uk pop,2
pop,uk pop,2
post-teen pop,uk pop,2
uk pop,uk pop,2
electropop,urban contemporary,2
battle rap,east coast hip hop,2
battle rap,gangster rap,2
battle rap,hardcore hip hop,2
east coast hip hop,southern hip hop,2
atl hip hop,hip pop,2
neo mellow,post-grunge,2
g funk,gangster rap,2
g funk,pop rap,2
g funk,west coast rap,2
gangster rap,west coast rap,2
hip hop,west coast rap,2
pop rap,west coast rap,2
rap,west coast rap,2
west coast rap,west coast rap,2
detroit hip hop,detroit hip hop,2
detroit hip hop,hip hop,2
detroit hip hop,rap,2
dancehall,dancehall,2
deep pop r&b,neo soul,2
deep pop r&b,new jack swing,2
deep pop r&b,pop rap,2
deep pop r&b,southern hip hop,2
new jack swing,pop,2
