genre_1,genre_2,co_occurrence_count
pop,pop,69
rap,rap,35
pop rap,pop rap,31
dance pop,dance pop,30
dance pop,pop,29
pop,post-teen pop,28
post-teen pop,post-teen pop,28
pop rap,rap,27
dance pop,post-teen pop,27
pop,rap,24
pop,pop rap,23
hip hop,hip hop,22
hip hop,rap,22
trap music,trap music,22
hip hop,pop rap,20
rap,trap music,20
pop rap,trap music,16
pop,uk pop,14
uk pop,uk pop,14
hip hop,pop,14
pop,trap music,14
hip hop,trap music,13
pop rap,southern hip hop,12
rap,southern hip hop,12
southern hip hop,southern hip hop,12
southern hip hop,trap music,12
dance pop,uk pop,11
post-teen pop,uk pop,11
hip hop,southern hip hop,11
atl hip hop,atl hip hop,10
atl hip hop,rap,10
pop,southern hip hop,9
atl hip hop,trap music,9
pop,tropical house,8
tropical house,tropical house,8
atl hip hop,pop rap,8
contemporary country,contemporary country,8
edm,edm,7
atl hip hop,pop,7
atl hip hop,hip hop,7
edm,pop,6
dance pop,tropical house,6
post-teen pop,tropical house,6
atl hip hop,southern hip hop,6
electropop,electropop,5
edm,tropical house,5
tropical house,uk pop,5
contemporary country,country road,5
country road,country road,5
dance pop,edm,4
electropop,pop,4
edm,post-teen pop,4
canadian pop,canadian pop,4
contemporary country,country,4
country,country,4
edm,electro house,3
electro house,electro house,3
dance pop,electropop,3
electro house,pop,3
electropop,post-teen pop,3
edm,uk pop,3
miami hip hop,miami hip hop,3
modern rock,modern rock,3
conscious hip hop,conscious hip hop,3
conscious hip hop,hip hop,3
conscious hip hop,pop rap,3
conscious hip hop,rap,3
latin,latin,3
country,country road,3
canadian pop,pop,3
dance pop,pop rap,3
pop rap,post-teen pop,3
dance pop,electro house,2
electro house,post-teen pop,2
electro house,tropical house,2
electropop,tropical house,2
edm,uk dance,2
pop,uk dance,2
uk dance,uk dance,2
hip hop,miami hip hop,2
miami hip hop,pop rap,2
miami hip hop,rap,2
miami hip hop,southern hip hop,2
miami hip hop,trap music,2
rock,rock,2
gangster rap,gangster rap,2
gangster rap,pop,2
gangster rap,pop rap,2
gangster rap,rap,2
gangster rap,trap music,2
dirty south rap,dirty south rap,2
dirty south rap,hip hop,2
dirty south rap,pop,2
dirty south rap,pop rap,2
dirty south rap,rap,2
dirty south rap,southern hip hop,2
dirty south rap,trap music,2
atl hip hop,underground hip hop,2
hip hop,underground hip hop,2
rap,underground hip hop,2
trap music,underground hip hop,2
underground hip hop,underground hip hop,2
canadian pop,rap,2
latin,pop,2
latin,reggaeton,2
reggaeton,reggaeton,2
latin,tropical,2
pop,tropical,2
tropical,tropical,2
canadian contemporary r&b,canadian contemporary r&b,2
canadian contemporary r&b,pop,2
pop,viral pop,2
viral pop,viral pop,2
contemporary country,country pop,2
country pop,country pop,2
contemporary country,country dawn,2
country,country dawn,2
country dawn,country dawn,2
contemporary country,modern country rock,2
country,modern country rock,2
country road,modern country rock,2
modern country rock,modern country rock,2
dance pop,r&b,2
pop,r&b,2
r&b,r&b,2
edm,electropop,1
electro house,electropop,1
electro house,uk pop,1
electropop,uk pop,1
edm,house,1
electro house,house,1
house,house,1
house,pop,1
edm,progressive house,1
electro house,progressive house,1
house,progressive house,1
pop,progressive house,1
progressive house,progressive house,1
electro house,uk dance,1
house,uk dance,1
progressive house,uk dance,1
edm,electronic trap,1
electronic trap,electronic trap,1
miami hip hop,pop,1
dance pop,uk dance,1
post-teen pop,uk dance,1
tropical house,uk dance,1
dance pop,uk funky,1
edm,uk funky,1
pop,uk funky,1
post-teen pop,uk funky,1
tropical house,uk funky,1
uk dance,uk funky,1
uk funky,uk funky,1
uk dance,uk pop,1
uk funky,uk pop,1
indie pop,indie pop,1
indie pop,modern rock,1
modern rock,rock,1
permanent wave,permanent wave,1
permanent wave,pop,1
pop punk,pop punk,1
pop punk,rock,1
pop,pop edm,1
pop edm,pop edm,1
pop edm,uk pop,1
electro,electro,1
electro,electronic,1
electronic,electronic,1
electro,filter house,1
electronic,filter house,1
filter house,filter house,1
atl hip hop,atl trap,1
atl trap,atl trap,1
atl hip hop,gangster rap,1
atl trap,gangster rap,1
atl trap,pop,1
atl trap,pop rap,1
atl trap,rap,1
atl trap,trap music,1
