genre_1,genre_2,co_occurrence_count
dance pop,dance pop,31
urban contemporary,urban contemporary,27
r&b,r&b,26
r&b,urban contemporary,26
hip pop,hip pop,21
hip pop,r&b,21
hip pop,urban contemporary,21
hip hop,hip hop,19
dance pop,urban contemporary,18
dance pop,r&b,17
neo soul,neo soul,17
dance pop,hip pop,15
neo soul,r&b,15
neo soul,urban contemporary,15
new jack swing,new jack swing,15
new jack swing,r&b,15
new jack swing,urban contemporary,15
pop rock,pop rock,14
pop,pop,14
dance pop,neo soul,13
hip pop,neo soul,13
dance pop,pop,13
hip pop,new jack swing,12
pop rap,pop rap,12
post-grunge,post-grunge,12
dance pop,new jack swing,11
hip hop,hip pop,11
hip hop,r&b,11
hip hop,urban contemporary,11
neo soul,new jack swing,11
pop rock,post-grunge,10
country,country,10
dance pop,hip hop,9
new jack swing,quiet storm,9
quiet storm,quiet storm,9
quiet storm,r&b,9
quiet storm,urban contemporary,9
southern hip hop,southern hip hop,9
hip hop,pop rap,9
contemporary country,contemporary country,9
contemporary country,country,9
dance pop,quiet storm,8
hip hop,neo soul,8
neo soul,quiet storm,8
dance pop,pop rap,8
country,country road,8
country road,country road,8
pop,urban contemporary,8
hip hop,rap,8
rap,rap,8
dance pop,southern hip hop,7
hip hop,new jack swing,7
hip hop,southern hip hop,7
hip pop,quiet storm,7
pop rap,southern hip hop,7
pop rap,urban contemporary,7
europop,europop,7
rock,rock,7
contemporary country,country road,7
pop,r&b,7
boy band,boy band,6
hip pop,southern hip hop,6
r&b,southern hip hop,6
southern hip hop,urban contemporary,6
hip pop,pop rap,6
pop rap,r&b,6
alternative rock,alternative rock,6
alternative rock,post-grunge,6
post-grunge,rock,6
neo mellow,neo mellow,6
neo mellow,pop rock,6
hip pop,pop,6
gangster rap,gangster rap,6
pop rap,rap,6
boy band,dance pop,5
hip hop,quiet storm,5
neo soul,southern hip hop,5
alternative metal,alternative metal,5
alternative metal,post-grunge,5
alternative rock,pop rock,5
alternative rock,rock,5
neo mellow,post-grunge,5
dance pop,europop,5
contemporary country,country dawn,5
country,country dawn,5
country dawn,country dawn,5
pop,pop rap,5
gangster rap,hip hop,5
gangster rap,rap,5
new jack swing,southern hip hop,4
deep pop r&b,deep pop r&b,4
deep pop r&b,hip pop,4
deep pop r&b,r&b,4
deep pop r&b,urban contemporary,4
alternative metal,nu metal,4
alternative metal,pop rock,4
alternative metal,rock,4
nu metal,nu metal,4
nu metal,post-grunge,4
pop rock,rock,4
pop punk,pop punk,4
pop punk,pop rock,4
pop punk,post-grunge,4
gangster rap,pop rap,4
rap,southern hip hop,4
hip hop,pop,4
dance pop,post-teen pop,4
post-teen pop,post-teen pop,4
quiet storm,southern hip hop,3
dance pop,deep pop r&b,3
deep pop r&b,neo soul,3
neo soul,pop rap,3
new jack swing,pop rap,3
east coast hip hop,east coast hip hop,3
east coast hip hop,hardcore hip hop,3
east coast hip hop,hip hop,3
hardcore hip hop,hardcore hip hop,3
hardcore hip hop,hip hop,3
alternative metal,alternative rock,3
nu metal,pop rock,3
nu metal,rock,3
alternative rock,pop punk,3
permanent wave,permanent wave,3
girl group,girl group,3
girl group,hip pop,3
girl group,r&b,3
girl group,urban contemporary,3
boy band,europop,3
latin,latin,3
latin,tropical,3
tropical,tropical,3
g funk,g funk,3
g funk,hip hop,3
g funk,rap,3
country dawn,country road,3
pop,post-teen pop,3
neo soul,pop,3
deep pop r&b,new jack swing,2
deep pop r&b,southern hip hop,2
eurodance,eurodance,2
eurodance,europop,2
alternative metal,rap rock,2
alternative rock,nu metal,2
alternative rock,rap rock,2
nu metal,rap rock,2
pop rock,rap rock,2
post-grunge,rap rock,2
rap rock,rap rock,2
rap rock,rock,2
alternative metal,pop punk,2
alternative rock,permanent wave,2
permanent wave,post-grunge,2
permanent wave,rock,2
pop punk,rock,2
atl hip hop,atl hip hop,2
atl hip hop,dance pop,2
atl hip hop,hip hop,2
atl hip hop,hip pop,2
atl hip hop,neo soul,2
atl hip hop,new jack swing,2
atl hip hop,quiet storm,2
atl hip hop,r&b,2
atl hip hop,urban contemporary,2
dance pop,girl group,2
pop rap,quiet storm,2
bubblegum dance,bubblegum dance,2
bubblegum dance,europop,2
dirty south rap,dirty south rap,2
dirty south rap,gangster rap,2
gangster rap,southern hip hop,2
east coast hip hop,gangster rap,2
east coast hip hop,pop rap,2
east coast hip hop,rap,2
gangster rap,hardcore hip hop,2
hardcore hip hop,pop rap,2
hardcore hip hop,rap,2
dance pop,rap,2
pop,rap,2
pop,southern hip hop,2
g funk,gangster rap,2
g funk,west coast rap,2
gangster rap,west coast rap,2
hip hop,west coast rap,2
rap,west coast rap,2
west coast rap,west coast rap,2
australian pop,australian pop,2
australian pop,dance pop,2
australian pop,europop,2
dance pop,pop rock,2
contemporary country,pop rock,2
country,pop rock,2
country dawn,pop rock,2
new jack swing,pop,2
latin,latin pop,2
latin pop,latin pop,2
latin pop,tropical,2
neo soul,soul,2
soul,soul,2
boy band,hip hop,1
boy band,hip pop,1
boy band,minneapolis sound,1
boy band,neo soul,1
boy band,new jack swing,1
boy band,quiet storm,1
boy band,r&b,1
boy band,southern hip hop,1
boy band,urban contemporary,1
dance pop,minneapolis sound,1
hip hop,minneapolis sound,1
hip pop,minneapolis sound,1
minneapolis sound,minneapolis sound,1
minneapolis sound,neo soul,1
minneapolis sound,new jack swing,1
minneapolis sound,quiet storm,1
minneapolis sound,r&b,1
minneapolis sound,southern hip hop,1
minneapolis sound,urban contemporary,1
deep pop r&b,pop rap,1
alternative hip hop,alternative hip hop,1
alternative hip hop,east coast hip hop,1
alternative hip hop,hardcore hip hop,1
alternative hip hop,hip hop,1
alternative hip hop,neo soul,1
east coast hip hop,neo soul,1
hardcore hip hop,neo soul,1
alternative metal,grunge,1
alternative metal,industrial metal,1
alternative metal,industrial rock,1
alternative metal,modern rock,1
alternative rock,grunge,1
alternative rock,industrial metal,1
alternative rock,industrial rock,1
alternative rock,modern rock,1
grunge,grunge,1
grunge,industrial metal,1
grunge,industrial rock,1
grunge,modern rock,1
grunge,nu metal,1
grunge,pop rock,1
grunge,post-grunge,1
grunge,rap rock,1
grunge,rock,1
industrial metal,industrial metal,1
industrial metal,industrial rock,1
industrial metal,modern rock,1
industrial metal,nu metal,1
industrial metal,pop rock,1
industrial metal,post-grunge,1
industrial metal,rap rock,1
industrial metal,rock,1
industrial rock,industrial rock,1
industrial rock,modern rock,1
industrial rock,nu metal,1
industrial rock,pop rock,1
industrial rock,post-grunge,1
industrial rock,rap rock,1
industrial rock,rock,1
modern rock,modern rock,1
modern rock,nu metal,1
modern rock,pop rock,1
modern rock,post-grunge,1
modern rock,rap rock,1
modern rock,rock,1
alternative metal,permanent wave,1
permanent wave,pop punk,1
permanent wave,pop rock,1
nu metal,pop punk,1
alternative rock,funk metal,1
alternative rock,funk rock,1
funk metal,funk metal,1
funk metal,funk rock,1
funk metal,permanent wave,1
funk metal,post-grunge,1
funk metal,rock,1
funk rock,funk rock,1
funk rock,permanent wave,1
funk rock,post-grunge,1
funk rock,rock,1
alternative rock,neo mellow,1
neo mellow,pop punk,1
neo mellow,rock,1
atl hip hop,deep pop r&b,1
atl hip hop,girl group,1
deep pop r&b,girl group,1
deep pop r&b,hip hop,1
deep pop r&b,quiet storm,1
girl group,hip hop,1
girl group,neo soul,1
girl group,new jack swing,1
girl group,quiet storm,1
atl hip hop,pop rap,1
atl hip hop,southern hip hop,1
blues-rock,blues-rock,1
blues-rock,classic rock,1
blues-rock,rock,1
classic rock,classic rock,1
classic rock,rock,1
bubblegum dance,eurodance,1
bubblegum dance,italian pop,1
bubblegum dance,italo dance,1
eurodance,italian pop,1
eurodance,italo dance,1
europop,italian pop,1
europop,italo dance,1
italian pop,italian pop,1
italian pop,italo dance,1
italo dance,italo dance,1
girl group,pop,1
girl group,pop rap,1
deep latin christian,deep latin christian,1
deep latin christian,latin,1
deep latin christian,tropical,1
neo mellow,pop,1
pop,pop rock,1
dirty south rap,hip hop,1
dirty south rap,houston rap,1
dirty south rap,pop rap,1
dirty south rap,rap,1
dirty south rap,southern hip hop,1
dirty south rap,trap music,1
gangster rap,houston rap,1
gangster rap,trap music,1
hip hop,houston rap,1
hip hop,trap music,1
houston rap,houston rap,1
houston rap,pop rap,1
houston rap,rap,1
houston rap,southern hip hop,1
houston rap,trap music,1
pop rap,trap music,1
rap,trap music,1
southern hip hop,trap music,1
trap music,trap music,1
gospel,gospel,1
gospel,gospel r&b,1
gospel,neo soul,1
gospel,r&b,1
gospel,urban contemporary,1
gospel r&b,gospel r&b,1
gospel r&b,neo soul,1
gospel r&b,r&b,1
gospel r&b,urban contemporary,1
chicago rap,chicago rap,1
chicago rap,hip hop,1
chicago rap,hip pop,1
chicago rap,new jack swing,1
chicago rap,r&b,1
chicago rap,urban contemporary,1
conscious hip hop,conscious hip hop,1
conscious hip hop,east coast hip hop,1
conscious hip hop,gangster rap,1
conscious hip hop,hardcore hip hop,1
conscious hip hop,hip hop,1
conscious hip hop,pop rap,1
conscious hip hop,rap,1
crunk,crunk,1
crunk,dirty south rap,1
crunk,gangster rap,1
crunk,new orleans rap,1
dirty south rap,new orleans rap,1
gangster rap,new orleans rap,1
new orleans rap,new orleans rap,1
dance pop,philly rap,1
hip hop,philly rap,1
hip pop,philly rap,1
hip pop,rap,1
philly rap,philly rap,1
philly rap,pop,1
philly rap,pop rap,1
philly rap,r&b,1
philly rap,rap,1
philly rap,southern hip hop,1
philly rap,urban contemporary,1
r&b,rap,1
rap,urban contemporary,1
detroit hip hop,detroit hip hop,1
detroit hip hop,g funk,1
detroit hip hop,hip hop,1
detroit hip hop,rap,1
east coast hip hop,southern hip hop,1
hardcore hip hop,southern hip hop,1
g funk,pop rap,1
pop rap,west coast rap,1
acoustic pop,acoustic pop,1
acoustic pop,neo mellow,1
acoustic pop,pop rock,1
acoustic pop,post-grunge,1
australian pop,boy band,1
australian pop,pop rock,1
boy band,pop rock,1
europop,pop rock,1
australian pop,bubblegum dance,1
bubblegum dance,dance pop,1
country road,pop rock,1
contemporary country,dance pop,1
country,dance pop,1
country dawn,dance pop,1
dance pop,uk pop,1
europop,pop,1
europop,post-teen pop,1
europop,uk pop,1
pop,uk pop,1
post-teen pop,uk pop,1
uk pop,uk pop,1
pop,quiet storm,1
dance pop,latin,1
dance pop,latin pop,1
dance pop,mexican pop,1
dance pop,tropical,1
latin,mexican pop,1
latin,pop,1
latin pop,mexican pop,1
latin pop,pop,1
mexican pop,mexican pop,1
mexican pop,pop,1
mexican pop,tropical,1
pop,tropical,1
pop rap,post-teen pop,1
post-teen pop,urban contemporary,1
funk,funk,1
funk,hip hop,1
funk,hip pop,1
funk,neo soul,1
funk,r&b,1
funk,soul,1
funk,urban contemporary,1
hip hop,soul,1
hip pop,soul,1
r&b,soul,1
soul,urban contemporary,1
latin,modern salsa,1
latin,salsa,1
latin pop,modern salsa,1
latin pop,salsa,1
modern salsa,modern salsa,1
modern salsa,salsa,1
modern salsa,tropical,1
salsa,salsa,1
salsa,tropical,1
permanent wave,soft rock,1
soft rock,soft rock,1
