genre_1,genre_2,co_occurrence_count
pop rap,pop rap,44
dance pop,dance pop,40
hip hop,hip hop,35
pop,pop,35
rap,rap,33
hip hop,pop rap,32
pop rap,rap,32
hip hop,rap,29
dance pop,pop,27
dance pop,pop rap,27
hip pop,hip pop,26
urban contemporary,urban contemporary,26
pop rap,southern hip hop,25
r&b,r&b,25
southern hip hop,southern hip hop,25
dance pop,urban contemporary,23
r&b,urban contemporary,23
hip hop,southern hip hop,22
dance pop,r&b,21
hip pop,pop rap,21
pop,pop rap,21
rap,southern hip hop,21
dance pop,hip pop,20
hip pop,urban contemporary,19
pop,urban contemporary,19
hip pop,r&b,18
pop,r&b,18
pop rap,urban contemporary,18
dance pop,hip hop,17
gangster rap,gangster rap,17
gangster rap,pop rap,17
gangster rap,rap,17
hip hop,hip pop,17
pop rap,r&b,17
dance pop,rap,16
gangster rap,hip hop,16
dance pop,southern hip hop,15
hip pop,pop,15
hip pop,rap,15
pop rap,trap music,15
rap,trap music,15
trap music,trap music,15
pop rock,pop rock,14
hip hop,trap music,14
hip pop,southern hip hop,13
dirty south rap,dirty south rap,13
dirty south rap,pop rap,13
dirty south rap,southern hip hop,13
hip hop,urban contemporary,12
pop,rap,12
southern hip hop,trap music,12
gangster rap,southern hip hop,11
hip hop,pop,11
hip hop,r&b,11
neo mellow,neo mellow,11
dirty south rap,rap,11
gangster rap,trap music,11
dirty south rap,hip hop,11
r&b,rap,10
r&b,southern hip hop,10
rap,urban contemporary,10
southern hip hop,urban contemporary,10
neo mellow,pop rock,10
atl hip hop,atl hip hop,9
atl hip hop,pop rap,9
dirty south rap,gangster rap,9
dirty south rap,trap music,9
dance pop,post-teen pop,9
pop,post-teen pop,9
post-teen pop,post-teen pop,9
atl hip hop,southern hip hop,8
pop,southern hip hop,8
post-grunge,post-grunge,8
atl hip hop,dirty south rap,7
east coast hip hop,east coast hip hop,7
east coast hip hop,hip hop,7
east coast hip hop,pop rap,7
east coast hip hop,rap,7
atl hip hop,dance pop,6
atl hip hop,hip hop,6
atl hip hop,rap,6
dance pop,gangster rap,6
gangster rap,hip pop,6
alternative metal,alternative metal,6
alternative metal,post-grunge,6
pop punk,pop punk,6
crunk,crunk,6
crunk,dirty south rap,6
crunk,pop rap,6
crunk,southern hip hop,6
dance pop,trap music,6
deep pop r&b,deep pop r&b,6
deep pop r&b,hip pop,6
deep pop r&b,r&b,6
deep pop r&b,urban contemporary,6
neo mellow,pop,6
pop,pop rock,6
permanent wave,permanent wave,5
crunk,gangster rap,5
crunk,rap,5
crunk,trap music,5
dance pop,deep pop r&b,5
east coast hip hop,hip pop,5
hardcore hip hop,hardcore hip hop,5
hardcore hip hop,hip hop,5
hardcore hip hop,pop rap,5
hardcore hip hop,rap,5
dance pop,dirty south rap,5
neo soul,neo soul,5
neo soul,r&b,5
neo soul,urban contemporary,5
atl hip hop,gangster rap,4
modern rock,modern rock,4
permanent wave,rock,4
rock,rock,4
alternative metal,nu metal,4
nu metal,nu metal,4
nu metal,post-grunge,4
pop rock,post-grunge,4
atl hip hop,trap music,4
post-teen pop,urban contemporary,4
hip pop,trap music,4
east coast hip hop,hardcore hip hop,4
crunk,hip hop,4
dirty south rap,hip pop,4
east coast hip hop,gangster rap,4
hip pop,neo soul,4
dance pop,pop rock,4
pop rock,post-teen pop,4
contemporary country,contemporary country,4
contemporary country,country,4
country,country,4
atl hip hop,hip pop,3
boy band,boy band,3
gangster rap,urban contemporary,3
modern rock,permanent wave,3
modern rock,rock,3
pop punk,pop rock,3
pop punk,post-grunge,3
atl hip hop,crunk,3
hip pop,post-teen pop,3
pop rap,post-teen pop,3
post-teen pop,r&b,3
dance pop,europop,3
europop,europop,3
deep pop r&b,pop rap,3
deep pop r&b,rap,3
hardcore hip hop,hip pop,3
gangster rap,hardcore hip hop,3
dance pop,east coast hip hop,3
east coast hip hop,pop,3
acoustic pop,acoustic pop,3
acoustic pop,neo mellow,3
acoustic pop,pop rock,3
dance pop,neo soul,3
dance pop,neo mellow,3
neo mellow,post-teen pop,3
contemporary country,country road,3
country,country road,3
country road,country road,3
atl hip hop,pop,2
atl hip hop,r&b,2
atl hip hop,urban contemporary,2
boy band,dance pop,2
gangster rap,pop,2
nyc rap,nyc rap,2
alternative rock,alternative rock,2
alternative rock,modern rock,2
alternative rock,permanent wave,2
alternative rock,post-grunge,2
alternative rock,rock,2
modern rock,post-grunge,2
permanent wave,post-grunge,2
post-grunge,rock,2
alternative metal,pop rock,2
neo mellow,post-grunge,2
alternative metal,pop punk,2
nu metal,pop punk,2
alternative metal,rap metal,2
nu metal,rap metal,2
post-grunge,rap metal,2
rap metal,rap metal,2
modern rock,pop punk,2
permanent wave,pop punk,2
pop punk,rock,2
australian pop,australian pop,2
australian pop,dance pop,2
australian pop,pop,2
australian pop,post-teen pop,2
australian pop,uk pop,2
dance pop,girl group,2
dance pop,uk pop,2
girl group,girl group,2
girl group,hip pop,2
girl group,pop,2
girl group,pop rap,2
girl group,r&b,2
girl group,urban contemporary,2
pop,uk pop,2
post-teen pop,uk pop,2
uk pop,uk pop,2
deep pop r&b,hip hop,2
deep pop r&b,southern hip hop,2
hip hop,miami hip hop,2
hip pop,miami hip hop,2
