genre_1,genre_2,co_occurrence_count
pop,pop,70
dance pop,dance pop,44
dance pop,pop,41
pop rap,pop rap,37
pop,pop rap,26
pop,post-teen pop,25
post-teen pop,post-teen pop,25
rap,rap,24
dance pop,post-teen pop,24
pop rap,rap,23
trap music,trap music,19
pop rap,trap music,18
dance pop,pop rap,18
hip hop,hip hop,18
hip hop,rap,18
pop rap,southern hip hop,17
rap,trap music,17
southern hip hop,southern hip hop,17
hip hop,pop rap,17
rap,southern hip hop,15
southern hip hop,trap music,15
pop,rap,14
hip hop,southern hip hop,14
hip hop,trap music,14
contemporary country,contemporary country,12
pop,trap music,12
tropical house,tropical house,11
uk pop,uk pop,11
contemporary country,country,11
country,country,11
pop,tropical house,10
contemporary country,country road,10
country,country road,10
country road,country road,10
pop,uk pop,10
r&b,r&b,10
dance pop,uk pop,9
hip hop,pop,9
pop,southern hip hop,9
pop,r&b,9
edm,edm,8
post-teen pop,uk pop,8
atl hip hop,atl hip hop,8
atl hip hop,pop rap,8
dance pop,r&b,8
edm,pop,7
neo mellow,neo mellow,7
dance pop,tropical house,7
post-teen pop,tropical house,7
electropop,electropop,7
electropop,pop,7
pop rap,post-teen pop,7
pop,urban contemporary,7
r&b,urban contemporary,7
urban contemporary,urban contemporary,7
metropopolis,metropopolis,6
metropopolis,pop,6
contemporary country,modern country rock,6
country,modern country rock,6
country road,modern country rock,6
modern country rock,modern country rock,6
atl hip hop,rap,6
atl hip hop,trap music,6
gangster rap,gangster rap,6
gangster rap,pop rap,6
gangster rap,rap,6
atl hip hop,southern hip hop,6
dance pop,electropop,6
dance pop,urban contemporary,6
modern rock,modern rock,5
edm,tropical house,5
tropical house,uk pop,5
latin,latin,5
neo mellow,pop,5
pop rock,pop rock,5
gangster rap,trap music,5
dance pop,southern hip hop,5
dirty south rap,dirty south rap,5
dirty south rap,pop rap,5
dirty south rap,southern hip hop,5
atl hip hop,hip hop,5
gangster rap,hip hop,5
dance pop,rap,5
dance pop,metropopolis,5
electropop,metropopolis,5
pop rap,r&b,5
electropop,post-teen pop,5
australian pop,australian pop,4
australian pop,pop,4
dance pop,latin,4
latin,pop,4
dance pop,edm,4
edm,post-teen pop,4
neo mellow,pop rock,4
pop,pop rock,4
metropopolis,tropical house,4
atl hip hop,pop,4
dirty south rap,gangster rap,4
dirty south rap,hip hop,4
dirty south rap,rap,4
dirty south rap,trap music,4
gangster rap,southern hip hop,4
dance pop,trap music,4
dance pop,hip pop,4
hip pop,hip pop,4
hip pop,pop,4
pop rap,urban contemporary,4
metropopolis,post-teen pop,4
pop,uk dance,3
uk dance,uk dance,3
australian pop,post-teen pop,3
contemporary country,country dawn,3
contemporary country,country pop,3
country,country dawn,3
country dawn,country dawn,3
country pop,country pop,3
dance pop,latin pop,3
latin,latin pop,3
latin pop,latin pop,3
latin pop,pop,3
dance pop,pop rock,3
modern rock,pop,3
atl hip hop,gangster rap,3
atl hip hop,dance pop,3
atl hip hop,dirty south rap,3
crunk,crunk,3
crunk,dirty south rap,3
crunk,pop rap,3
crunk,southern hip hop,3
dance pop,hip hop,3
hip pop,post-teen pop,3
neo soul,neo soul,3
electropop,tropical house,3
modern alternative rock,modern alternative rock,2
modern alternative rock,modern rock,2
big room,big room,2
big room,edm,2
big room,pop,2
edm,progressive house,2
pop,progressive house,2
progressive house,progressive house,2
edm,electro house,2
edm,uk dance,2
electro house,electro house,2
electro house,pop,2
house,house,2
house,pop,2
house,uk dance,2
boy band,boy band,2
boy band,dance pop,2
boy band,pop,2
