genre_1,genre_2,co_occurrence_count
dance pop,dance pop,33
pop rap,pop rap,31
hip hop,hip hop,30
hip pop,hip pop,29
urban contemporary,urban contemporary,26
hip hop,pop rap,25
pop,pop,23
rap,rap,22
hip hop,rap,21
pop rap,rap,21
r&b,r&b,21
hip pop,urban contemporary,21
southern hip hop,southern hip hop,20
r&b,urban contemporary,20
hip hop,hip pop,20
pop rap,southern hip hop,19
dance pop,urban contemporary,18
gangster rap,gangster rap,17
gangster rap,pop rap,17
dance pop,hip hop,17
dance pop,hip pop,17
dance pop,pop rap,17
hip pop,pop rap,17
dance pop,pop,17
hip pop,r&b,16
hip hop,urban contemporary,16
gangster rap,rap,15
gangster rap,hip hop,14
hip hop,southern hip hop,14
dance pop,r&b,14
dance pop,southern hip hop,13
pop rap,urban contemporary,13
country,country,13
neo soul,neo soul,12
pop rock,pop rock,12
hip pop,southern hip hop,12
contemporary country,contemporary country,12
contemporary country,country,12
rap,southern hip hop,11
hip hop,r&b,11
neo soul,r&b,11
neo soul,urban contemporary,11
hip pop,rap,11
hip hop,pop,11
pop,urban contemporary,11
east coast hip hop,east coast hip hop,10
southern hip hop,urban contemporary,10
contemporary country,country road,10
country,country road,10
country road,country road,10
dance pop,rap,10
hip pop,pop,10
pop,pop rap,10
hardcore hip hop,hardcore hip hop,9
dirty south rap,dirty south rap,9
dirty south rap,pop rap,9
dirty south rap,southern hip hop,9
pop rap,trap music,9
trap music,trap music,9
hip pop,neo soul,9
new jack swing,new jack swing,9
new jack swing,urban contemporary,9
east coast hip hop,hip hop,9
east coast hip hop,pop rap,9
east coast hip hop,rap,9
hardcore hip hop,hip hop,8
hip hop,neo soul,8
hardcore hip hop,pop rap,8
hardcore hip hop,rap,8
gangster rap,southern hip hop,8
atl hip hop,atl hip hop,8
gangster rap,trap music,8
post-grunge,post-grunge,8
neo soul,new jack swing,8
new jack swing,r&b,8
neo mellow,neo mellow,8
gangster rap,hip pop,8
pop,r&b,8
atl hip hop,pop rap,7
atl hip hop,southern hip hop,7
rap,trap music,7
east coast hip hop,hardcore hip hop,7
dance pop,neo soul,7
hip pop,new jack swing,7
pop rap,r&b,7
r&b,southern hip hop,7
neo mellow,pop rock,7
rap,urban contemporary,7
pop,rap,7
gangster rap,hardcore hip hop,6
atl hip hop,dirty south rap,6
dirty south rap,gangster rap,6
southern hip hop,trap music,6
alternative metal,alternative metal,6
alternative metal,post-grunge,6
hip hop,new jack swing,6
neo soul,quiet storm,6
new jack swing,quiet storm,6
quiet storm,quiet storm,6
quiet storm,r&b,6
quiet storm,urban contemporary,6
dance pop,gangster rap,6
hip hop,trap music,6
east coast hip hop,gangster rap,6
east coast hip hop,hip pop,6
neo soul,southern hip hop,5
crunk,crunk,5
crunk,dirty south rap,5
crunk,pop rap,5
dirty south rap,rap,5
crunk,southern hip hop,5
atl hip hop,trap music,5
dirty south rap,trap music,5
alternative metal,nu metal,5
nu metal,nu metal,5
permanent wave,permanent wave,5
nu metal,post-grunge,5
rock,rock,5
dance pop,new jack swing,5
hip pop,quiet storm,5
dance pop,dirty south rap,5
hip pop,trap music,5
hardcore hip hop,hip pop,5
