genre_1,genre_2,co_occurrence_count
pop,pop,66
dance pop,dance pop,39
dance pop,pop,38
pop rap,pop rap,28
pop,post-teen pop,23
post-teen pop,post-teen pop,23
rap,rap,22
pop,pop rap,21
pop rap,rap,20
dance pop,post-teen pop,20
pop rap,trap music,15
trap music,trap music,15
hip hop,hip hop,14
hip hop,rap,14
pop,rap,14
pop rap,southern hip hop,14
rap,trap music,14
southern hip hop,southern hip hop,14
dance pop,pop rap,14
pop,uk pop,13
uk pop,uk pop,13
hip hop,pop rap,13
rap,southern hip hop,13
southern hip hop,trap music,13
pop,trap music,11
edm,edm,11
tropical house,tropical house,10
hip hop,trap music,10
pop,southern hip hop,10
dance pop,uk pop,10
post-teen pop,uk pop,10
hip hop,southern hip hop,9
pop,r&b,9
r&b,r&b,9
dance pop,tropical house,8
pop,tropical house,8
edm,pop,8
dance pop,r&b,8
hip hop,pop,7
pop,urban contemporary,7
r&b,urban contemporary,7
urban contemporary,urban contemporary,7
dance pop,rap,6
dance pop,urban contemporary,6
pop rap,r&b,6
pop rock,pop rock,5
dance pop,edm,5
dance pop,southern hip hop,5
pop rap,urban contemporary,5
pop,viral pop,4
viral pop,viral pop,4
modern rock,modern rock,4
canadian pop,canadian pop,4
edm,tropical house,4
electropop,electropop,4
electropop,pop,4
electropop,tropical house,4
edm,electro house,4
electro house,electro house,4
electro house,pop,4
dance pop,talent show,4
pop,talent show,4
post-teen pop,talent show,4
talent show,talent show,4
dance pop,trap music,4
neo mellow,neo mellow,4
neo mellow,pop,4
gangster rap,gangster rap,4
gangster rap,rap,4
dance pop,viral pop,3
post-teen pop,viral pop,3
uk pop,viral pop,3
modern rock,pop,3
pop,pop rock,3
canadian pop,pop,3
dance pop,electropop,3
post-teen pop,tropical house,3
pop rap,post-teen pop,3
dance pop,hip pop,3
hip pop,hip pop,3
hip pop,pop,3
talent show,uk pop,3
r&b,rap,3
r&b,southern hip hop,3
southern hip hop,urban contemporary,3
latin,latin,3
latin,pop,3
contemporary country,contemporary country,3
gangster rap,hip hop,3
gangster rap,pop rap,3
gangster rap,southern hip hop,3
gangster rap,trap music,3
viral trap,viral trap,3
australian pop,australian pop,3
australian pop,pop,3
house,house,3
indietronica,indietronica,2
indietronica,pop,2
canadian contemporary r&b,canadian contemporary r&b,2
canadian contemporary r&b,pop,2
canadian pop,rap,2
dance pop,metropopolis,2
electropop,metropopolis,2
electropop,post-teen pop,2
metropopolis,metropopolis,2
metropopolis,pop,2
metropopolis,post-teen pop,2
metropopolis,tropical house,2
hip hop,west coast rap,2
pop rap,west coast rap,2
rap,west coast rap,2
west coast rap,west coast rap,2
dance pop,electro house,2
edm,moombahton,2
electro house,tropical house,2
moombahton,moombahton,2
moombahton,pop,2
electro,electro,2
hip pop,post-teen pop,2
dance pop,hip hop,2
hip pop,pop rap,2
hip pop,rap,2
rap,urban contemporary,2
neo mellow,pop rock,2
neo mellow,post-teen pop,2
pop rock,post-teen pop,2
edm,progressive house,2
electro house,progressive house,2
pop,progressive house,2
progressive house,progressive house,2
dance pop,miami hip hop,2
miami hip hop,miami hip hop,2
miami hip hop,pop,2
miami hip hop,pop rap,2
hyphy,hyphy,2
hyphy,pop rap,2
hyphy,rap,2
hyphy,southern hip hop,2
hyphy,trap music,2
dance pop,latin,2
chicago rap,chicago rap,2
chicago rap,hip hop,2
chicago rap,pop rap,2
chicago rap,rap,2
r&b,trap music,2
trap music,urban contemporary,2
atl hip hop,atl hip hop,2
atl hip hop,pop rap,2
pop rap,viral trap,2
rap,viral trap,2
southern hip hop,viral trap,2
trap music,viral trap,2
house,pop,2
house,tropical house,2
contemporary country,country,2
contemporary country,country road,2
country,country,2
country,country road,2
country road,country road,2
australian pop,dance pop,2
australian pop,post-teen pop,2
australian pop,uk pop,2
latin,tropical,2
pop,tropical,2
tropical,tropical,2
edm,house,2
edm,uk dance,2
house,uk dance,2
uk dance,uk dance,2
hip hop,pittsburgh rap,1
pittsburgh rap,pittsburgh rap,1
pittsburgh rap,pop,1
pittsburgh rap,pop rap,1
pittsburgh rap,rap,1
pittsburgh rap,southern hip hop,1
pittsburgh rap,trap music,1
new jersey rap,new jersey rap,1
new jersey rap,pop,1
new jersey rap,pop rap,1
new jersey rap,rap,1
new jersey rap,southern hip hop,1
new jersey rap,trap music,1
indie pop,indie pop,1
indie pop,indie poptimism,1
indie pop,indietronica,1
indie pop,modern rock,1
indie pop,pop,1
indie pop,pop rock,1
indie poptimism,indie poptimism,1
indie poptimism,indietronica,1
indie poptimism,modern rock,1
indie poptimism,pop,1
indie poptimism,pop rock,1
indietronica,modern rock,1
indietronica,pop rock,1
modern rock,pop rock,1
pinoy hip hop,pinoy hip hop,1
canadian contemporary r&b,canadian pop,1
canadian contemporary r&b,rap,1
edm,electropop,1
edm,metropopolis,1
edm,post-teen pop,1
folk-pop,folk-pop,1
folk-pop,irish singer-songwriter,1
folk-pop,pop,1
irish singer-songwriter,irish singer-songwriter,1
irish singer-songwriter,pop,1
conscious hip hop,conscious hip hop,1
conscious hip hop,hip hop,1
conscious hip hop,pop rap,1
conscious hip hop,rap,1
conscious hip hop,west coast rap,1
dance pop,moombahton,1
electro house,moombahton,1
moombahton,tropical house,1
edm,electronic trap,1
electronic trap,electronic trap,1
dance pop,danish pop,1
danish pop,danish pop,1
danish pop,electropop,1
danish pop,pop,1
danish pop,tropical house,1
brostep,brostep,1
brostep,complextro,1
brostep,edm,1
brostep,electro,1
complextro,complextro,1
complextro,edm,1
complextro,electro,1
edm,electro,1
bmore,bmore,1
bmore,edm,1
bmore,moombahton,1
bmore,ninja,1
bmore,pop,1
edm,ninja,1
moombahton,ninja,1
ninja,ninja,1
ninja,pop,1
canadian pop,dance pop,1
canadian pop,post-teen pop,1
hip pop,uk pop,1
dance pop,girl group,1
girl group,girl group,1
girl group,pop,1
girl group,post-teen pop,1
girl group,talent show,1
girl group,uk pop,1
dance pop,deep pop r&b,1
deep pop r&b,deep pop r&b,1
deep pop r&b,hip pop,1
deep pop r&b,pop,1
deep pop r&b,pop rap,1
deep pop r&b,r&b,1
deep pop r&b,rap,1
deep pop r&b,southern hip hop,1
deep pop r&b,urban contemporary,1
hip pop,r&b,1
hip pop,southern hip hop,1
hip pop,urban contemporary,1
canadian hip hop,canadian hip hop,1
canadian hip hop,canadian pop,1
canadian hip hop,hip hop,1
canadian hip hop,pop rap,1
canadian hip hop,rap,1
canadian hip hop,toronto rap,1
canadian pop,hip hop,1
canadian pop,pop rap,1
canadian pop,toronto rap,1
hip hop,toronto rap,1
pop rap,toronto rap,1
rap,toronto rap,1
toronto rap,toronto rap,1
post-teen pop,rap,1
big room,big room,1
big room,dance pop,1
big room,deep big room,1
big room,dutch house,1
big room,edm,1
big room,electro house,1
big room,pop,1
big room,progressive electro house,1
big room,progressive house,1
big room,tropical house,1
dance pop,deep big room,1
dance pop,dutch house,1
dance pop,progressive electro house,1
dance pop,progressive house,1
deep big room,deep big room,1
deep big room,dutch house,1
deep big room,edm,1
deep big room,electro house,1
deep big room,pop,1
deep big room,progressive electro house,1
deep big room,progressive house,1
deep big room,tropical house,1
dutch house,dutch house,1
dutch house,edm,1
dutch house,electro house,1
dutch house,pop,1
dutch house,progressive electro house,1
dutch house,progressive house,1
dutch house,tropical house,1
