genre_1,genre_2,co_occurrence_count
dance pop,dance pop,34
urban contemporary,urban contemporary,29
hip pop,hip pop,28
hip pop,urban contemporary,24
r&b,r&b,24
r&b,urban contemporary,24
hip pop,r&b,22
dance pop,urban contemporary,21
pop,pop,21
dance pop,pop,19
dance pop,hip pop,18
dance pop,r&b,17
hip hop,hip hop,17
pop rap,pop rap,17
pop rock,pop rock,17
pop,urban contemporary,15
dance pop,pop rap,14
dance pop,hip hop,13
hip hop,pop rap,13
hip hop,rap,13
rap,rap,13
hip pop,neo soul,13
neo soul,neo soul,13
neo soul,r&b,13
neo soul,urban contemporary,13
hip hop,hip pop,12
hip pop,pop,12
contemporary country,contemporary country,12
contemporary country,country,12
country,country,12
hip hop,urban contemporary,11
pop,pop rap,11
pop,r&b,11
pop rap,rap,11
pop rap,urban contemporary,11
southern hip hop,southern hip hop,11
post-grunge,post-grunge,11
contemporary country,country road,11
country,country road,11
country road,country road,11
hip hop,southern hip hop,10
hip pop,pop rap,10
new jack swing,new jack swing,10
new jack swing,urban contemporary,10
dance pop,neo soul,10
dance pop,rap,9
dance pop,southern hip hop,9
hip hop,pop,9
hip hop,r&b,9
hip pop,new jack swing,9
new jack swing,r&b,9
pop rap,southern hip hop,9
rap,southern hip hop,9
alternative metal,alternative metal,9
alternative metal,post-grunge,9
pop rock,post-grunge,9
dance pop,new jack swing,8
hip pop,rap,8
hip pop,southern hip hop,8
pop rap,r&b,8
neo soul,new jack swing,8
quiet storm,quiet storm,8
gangster rap,gangster rap,7
pop,rap,7
r&b,southern hip hop,7
rap,urban contemporary,7
southern hip hop,urban contemporary,7
alternative metal,nu metal,7
alternative metal,pop rock,7
nu metal,nu metal,7
nu metal,post-grunge,7
atl hip hop,atl hip hop,6
gangster rap,hip hop,6
gangster rap,rap,6
neo mellow,neo mellow,6
neo mellow,pop rock,6
rock,rock,6
new jack swing,quiet storm,6
quiet storm,urban contemporary,6
atl hip hop,pop rap,5
gangster rap,pop rap,5
pop,southern hip hop,5
r&b,rap,5
alternative metal,alternative rock,5
alternative metal,rap rock,5
alternative rock,alternative rock,5
alternative rock,pop rock,5
alternative rock,post-grunge,5
nu metal,pop rock,5
nu metal,rap rock,5
post-grunge,rap rock,5
rap rock,rap rock,5
hip hop,neo soul,5
hip pop,quiet storm,5
neo soul,quiet storm,5
quiet storm,r&b,5
dance pop,post-teen pop,5
post-teen pop,post-teen pop,5
atl hip hop,dance pop,4
atl hip hop,hip hop,4
atl hip hop,r&b,4
atl hip hop,southern hip hop,4
atl hip hop,urban contemporary,4
gangster rap,hip pop,4
hip hop,new jack swing,4
new jack swing,southern hip hop,4
alternative rock,nu metal,4
dance pop,quiet storm,4
neo soul,southern hip hop,4
dirty south rap,dirty south rap,4
neo soul,pop,4
atl hip hop,hip pop,3
atl hip hop,rap,3
dance pop,gangster rap,3
gangster rap,pop,3
gangster rap,urban contemporary,3
new jack swing,pop,3
new jack swing,pop rap,3
new jack swing,rap,3
alternative metal,funk metal,3
alternative metal,rock,3
alternative rock,rap rock,3
funk metal,funk metal,3
funk metal,post-grunge,3
nu metal,rock,3
pop rock,rap rock,3
pop rock,rock,3
post-grunge,rock,3
rap rock,rock,3
alternative metal,pop punk,3
neo mellow,post-grunge,3
pop punk,pop punk,3
pop punk,pop rock,3
pop punk,post-grunge,3
dirty south rap,hip hop,3
dirty south rap,pop rap,3
dirty south rap,rap,3
dirty south rap,southern hip hop,3
dance pop,europop,3
dance pop,uk pop,3
europop,europop,3
europop,post-teen pop,3
uk pop,uk pop,3
funk,funk,3
funk,motown,3
funk,quiet storm,3
funk,soul,3
motown,motown,3
motown,quiet storm,3
motown,soul,3
quiet storm,soul,3
soul,soul,3
contemporary country,country rock,3
country,country rock,3
country road,country rock,3
country rock,country rock,3
girl group,girl group,3
pop,pop rock,3
gangster rap,hardcore hip hop,3
hardcore hip hop,hardcore hip hop,3
