from,to,weight,year
abstract hip hop,indie pop rap,0,2009
abstract hip hop,indie pop rap,0,2010
abstract hip hop,indie pop rap,0,2011
abstract hip hop,indie pop rap,0,2012
abstract hip hop,indie pop rap,0,2013
abstract hip hop,indie pop rap,0,2014
abstract hip hop,indie pop rap,0,2015
abstract hip hop,indie pop rap,0,2016
abstract hip hop,indie pop rap,0,2017
abstract hip hop,indie pop rap,0,2018
abstract hip hop,indie pop rap,0,2019
abstract hip hop,indie pop rap,0,2020
abstract hip hop,indie pop rap,0,2021
abstract hip hop,indie pop rap,0,2022
abstract hip hop,indie pop rap,0,2023
abstract hip hop,minnesota hip hop,0,2000
abstract hip hop,minnesota hip hop,0,2001
abstract hip hop,minnesota hip hop,0,2002
abstract hip hop,minnesota hip hop,0,2003
abstract hip hop,minnesota hip hop,0,2004
abstract hip hop,minnesota hip hop,0,2005
abstract hip hop,minnesota hip hop,0,2006
abstract hip hop,minnesota hip hop,0,2007
abstract hip hop,minnesota hip hop,0,2008
abstract hip hop,minnesota hip hop,0,2009
abstract hip hop,minnesota hip hop,0,2010
abstract hip hop,minnesota hip hop,0,2011
abstract hip hop,minnesota hip hop,0,2012
abstract hip hop,minnesota hip hop,0,2013
abstract hip hop,minnesota hip hop,0,2014
abstract hip hop,minnesota hip hop,0,2015
abstract hip hop,minnesota hip hop,0,2016
abstract hip hop,minnesota hip hop,0,2017
abstract hip hop,minnesota hip hop,0,2018
abstract hip hop,minnesota hip hop,0,2019
abstract hip hop,minnesota hip hop,0,2020
abstract hip hop,minnesota hip hop,0,2021
abstract hip hop,minnesota hip hop,0,2022
abstract hip hop,minnesota hip hop,0,2023
abstract hip hop,pop rap,0,2000
abstract hip hop,pop rap,0,2001
abstract hip hop,pop rap,0,2002
abstract hip hop,pop rap,0,2003
abstract hip hop,pop rap,0,2004
abstract hip hop,pop rap,0,2005
abstract hip hop,pop rap,0,2006
abstract hip hop,pop rap,0,2007
abstract hip hop,pop rap,0,2008
abstract hip hop,pop rap,0,2009
abstract hip hop,pop rap,0,2010
abstract hip hop,pop rap,0,2011
abstract hip hop,pop rap,0,2012
abstract hip hop,pop rap,0,2013
abstract hip hop,pop rap,0,2014
abstract hip hop,pop rap,0,2015
abstract hip hop,pop rap,0,2016
abstract hip hop,pop rap,0,2017
abstract hip hop,pop rap,0,2018
abstract hip hop,pop rap,0,2019
abstract hip hop,pop rap,0,2020
abstract hip hop,pop rap,0,2021
abstract hip hop,pop rap,0,2022
abstract hip hop,pop rap,0,2023
abstract hip hop,underground rap,0,2000
abstract hip hop,underground rap,0,2001
abstract hip hop,underground rap,0,2002
abstract hip hop,underground rap,0,2003
abstract hip hop,underground rap,0,2004
abstract hip hop,underground rap,0,2005
abstract hip hop,underground rap,0,2006
abstract hip hop,underground rap,0,2007
abstract hip hop,underground rap,0,2008
abstract hip hop,underground rap,0,2009
abstract hip hop,underground rap,0,2010
abstract hip hop,underground rap,0,2011
abstract hip hop,underground rap,0,2012
abstract hip hop,underground rap,0,2013
abstract hip hop,underground rap,0,2014
abstract hip hop,underground rap,0,2015
abstract hip hop,underground rap,0,2016
abstract hip hop,underground rap,0,2017
abstract hip hop,underground rap,0,2018
abstract hip hop,underground rap,0,2019
abstract hip hop,underground rap,0,2020
abstract hip hop,underground rap,0,2021
abstract hip hop,underground rap,0,2022
abstract hip hop,underground rap,0,2023
acid house,chicago house,0,2000
acid house,chicago house,0,2001
acid house,chicago house,0,2002
acid house,chicago house,0,2003
acid house,chicago house,0,2004
acid house,chicago house,0,2005
acid house,chicago house,0,2006
acid house,chicago house,0,2007
acid house,chicago house,0,2008
acid house,chicago house,0,2009
acid house,chicago house,0,2010
acid house,chicago house,0,2011
acid house,chicago house,0,2012
acid house,chicago house,0,2013
acid house,chicago house,0,2014
acid house,chicago house,0,2015
acid house,chicago house,0,2016
acid house,chicago house,0,2017
acid house,chicago house,0,2018
acid house,chicago house,0,2019
acid house,chicago house,0,2020
acid house,chicago house,0,2021
acid house,chicago house,0,2022
acid house,chicago house,0,2023
acid house,electronic,0,2000
acid house,electronic,0,2001
acid house,electronic,0,2002
acid house,electronic,0,2003
acid house,electronic,0,2004
acid house,electronic,0,2005
acid house,electronic,0,2006
acid house,electronic,0,2007
acid house,electronic,0,2008
acid house,electronic,0,2009
acid house,electronic,0,2010
acid house,electronic,0,2011
acid house,electronic,0,2012
acid house,electronic,0,2013
acid house,electronic,0,2014
acid house,electronic,0,2015
acid house,electronic,0,2016
acid house,electronic,0,2017
acid house,electronic,0,2018
acid house,electronic,0,2019
acid house,electronic,0,2020
acid house,electronic,0,2021
acid house,electronic,0,2022
acid house,electronic,0,2023
acid house,hip house,0,2000
acid house,hip house,0,2001
acid house,hip house,0,2002
acid house,hip house,0,2003
acid house,hip house,0,2004
acid house,hip house,0,2005
acid house,hip house,0,2006
acid house,hip house,0,2007
acid house,hip house,0,2008
acid house,hip house,0,2009
acid house,hip house,0,2010
acid house,hip house,0,2011
acid house,hip house,0,2012
acid house,hip house,0,2013
acid house,hip house,0,2014
acid house,hip house,0,2015
acid house,hip house,0,2016
acid house,hip house,0,2017
acid house,hip house,0,2018
acid house,hip house,0,2019
acid house,hip house,0,2020
acid house,hip house,0,2021
acid house,hip house,0,2022
acid house,hip house,0,2023
acid jazz,disco,0,2000
acid jazz,disco,0,2001
acid jazz,disco,0,2002
acid jazz,disco,0,2003
acid jazz,disco,0,2004
acid jazz,disco,0,2005
acid jazz,disco,0,2006
acid jazz,disco,0,2007
acid jazz,disco,0,2008
acid jazz,disco,0,2009
acid jazz,disco,0,2010
acid jazz,disco,0,2011
acid jazz,disco,0,2012
acid jazz,disco,0,2013
acid jazz,disco,0,2014
acid jazz,disco,0,2015
acid jazz,disco,0,2016
acid jazz,disco,0,2017
acid jazz,disco,0,2018
acid jazz,disco,0,2019
acid jazz,disco,0,2020
acid jazz,disco,0,2021
acid jazz,disco,0,2022
acid jazz,disco,0,2023
acid jazz,downtempo,0,2000
acid jazz,downtempo,0,2001
acid jazz,downtempo,0,2002
acid jazz,downtempo,0,2003
acid jazz,downtempo,0,2004
acid jazz,downtempo,0,2005
acid jazz,downtempo,0,2006
acid jazz,downtempo,0,2007
acid jazz,downtempo,0,2008
acid jazz,downtempo,0,2009
acid jazz,downtempo,0,2010
acid jazz,downtempo,0,2011
acid jazz,downtempo,0,2012
acid jazz,downtempo,0,2013
acid jazz,downtempo,0,2014
acid jazz,downtempo,0,2015
acid jazz,downtempo,0,2016
acid jazz,downtempo,0,2017
acid jazz,downtempo,0,2018
acid jazz,downtempo,0,2019
acid jazz,downtempo,0,2020
acid jazz,downtempo,0,2021
acid jazz,downtempo,0,2022
acid jazz,downtempo,0,2023
acid jazz,electronic,0,2000
acid jazz,electronic,0,2001
acid jazz,electronic,0,2002
acid jazz,electronic,0,2003
acid jazz,electronic,0,2004
acid jazz,electronic,0,2005
acid jazz,electronic,0,2006
acid jazz,electronic,0,2007
acid jazz,electronic,0,2008
acid jazz,electronic,0,2009
acid jazz,electronic,0,2010
acid jazz,electronic,0,2011
acid jazz,electronic,0,2012
acid jazz,electronic,0,2013
acid jazz,electronic,0,2014
acid jazz,electronic,0,2015
acid jazz,electronic,0,2016
acid jazz,electronic,0,2017
acid jazz,electronic,0,2018
acid jazz,electronic,0,2019
acid jazz,electronic,0,2020
acid jazz,electronic,0,2021
acid jazz,electronic,0,2022
acid jazz,electronic,0,2023
acid jazz,funk,0,2000
acid jazz,funk,0,2001
acid jazz,funk,0,2002
acid jazz,funk,0,2003
acid jazz,funk,0,2004
acid jazz,funk,0,2005
acid jazz,funk,0,2006
acid jazz,funk,0,2007
acid jazz,funk,0,2008
acid jazz,funk,0,2009
acid jazz,funk,0,2010
acid jazz,funk,0,2011
acid jazz,funk,0,2012
acid jazz,funk,0,2013
acid jazz,funk,0,2014
acid jazz,funk,0,2015
acid jazz,funk,0,2016
acid jazz,funk,0,2017
acid jazz,funk,0,2018
acid jazz,funk,0,2019
acid jazz,funk,0,2020
acid jazz,funk,0,2021
acid jazz,funk,0,2022
acid jazz,funk,0,2023
acid jazz,indie jazz,0,2000
acid jazz,indie jazz,0,2001
acid jazz,indie jazz,0,2002
acid jazz,indie jazz,0,2003
acid jazz,indie jazz,0,2004
acid jazz,indie jazz,0,2005
acid jazz,indie jazz,0,2006
acid jazz,indie jazz,0,2007
acid jazz,indie jazz,0,2008
acid jazz,indie jazz,0,2009
acid jazz,indie jazz,0,2010
acid jazz,indie jazz,0,2011
acid jazz,indie jazz,0,2012
acid jazz,indie jazz,0,2013
acid jazz,indie jazz,0,2014
acid jazz,indie jazz,0,2015
acid jazz,indie jazz,0,2016
acid jazz,indie jazz,0,2017
acid jazz,indie jazz,0,2018
acid jazz,indie jazz,0,2019
acid jazz,indie jazz,0,2020
acid jazz,indie jazz,0,2021
acid jazz,indie jazz,0,2022
acid jazz,indie jazz,0,2023
acid jazz,jazz funk,0,2000
acid jazz,jazz funk,0,2001
acid jazz,jazz funk,0,2002
acid jazz,jazz funk,0,2003
acid jazz,jazz funk,0,2004
acid jazz,jazz funk,0,2005
acid jazz,jazz funk,0,2006
acid jazz,jazz funk,0,2007
acid jazz,jazz funk,0,2008
acid jazz,jazz funk,0,2009
acid jazz,jazz funk,0,2010
acid jazz,jazz funk,0,2011
acid jazz,jazz funk,0,2012
acid jazz,jazz funk,0,2013
acid jazz,jazz funk,0,2014
acid jazz,jazz funk,0,2015
acid jazz,jazz funk,0,2016
acid jazz,jazz funk,0,2017
acid jazz,jazz funk,0,2018
acid jazz,jazz funk,0,2019
acid jazz,jazz funk,0,2020
acid jazz,jazz funk,0,2021
acid jazz,jazz funk,0,2022
acid jazz,jazz funk,0,2023
acid jazz,nu jazz,0,2000
acid jazz,nu jazz,0,2001
acid jazz,nu jazz,0,2002
acid jazz,nu jazz,0,2003
acid jazz,nu jazz,0,2004
